stream,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,107,13.08,0.6918,-1.0088,74.02,11.99,-1.02,20.34,18,74.02,0.0,93,0,14
S2,264,32.58,0.2905,-1.0087,76.69,2.99,-1.03,18.36,17,76.69,0.0,178,0,86
S3,33,18.18,0.1067,-0.7681,3.52,4.24,-1.16,9.52,11,3.52,0.0,27,0,6
S4,31,9.68,-0.8172,-1.0102,-25.33,0.99,-1.02,24.32,10,-31.33,6.0,28,3,0
S5,77,16.88,0.0042,-1.0074,0.32,4.99,-1.02,13.25,11,0.32,0.0,64,0,13
