date,balance,daily_pnl
2023-05-08,10000.0,0.0
2023-05-08,9949.91,-50.09
2023-05-10,9900.07,-49.84
2023-05-15,9848.01,-52.06
2023-05-23,9796.04,-51.97
2023-05-29,9697.1,-98.94
2023-05-31,10096.48,399.38
2023-06-03,9931.64,-164.84
2023-06-04,9790.53,-141.11
2023-06-05,9739.18,-51.35
2023-06-14,9604.07,-135.11
2023-06-16,9553.69,-50.38
2023-06-17,9503.53,-50.16
2023-06-20,9371.38,-132.15
2023-06-21,9241.11,-130.27
2023-06-27,9090.51,-150.6
2023-06-28,9042.59,-47.92
2023-06-30,8916.6,-125.99
2023-07-03,8747.19,-169.41
2023-07-04,8624.52,-122.67
2023-07-10,8503.27,-121.25
2023-07-11,8364.09,-139.18
2023-07-13,8246.91,-117.18
2023-07-14,8122.15,-124.76
2023-07-17,8008.09,-114.06
2023-07-19,7896.89,-111.2
2023-07-24,8426.18,529.29
2023-07-30,8631.49,205.31
2023-08-01,8241.56,-389.93
2023-08-06,8198.0,-43.56
2023-08-07,8870.87,672.87
2023-08-11,8746.44,-124.43
2023-08-14,8244.63,-501.81
2023-08-15,9789.87,1545.24
2023-08-16,10192.67,402.8
2023-08-19,10085.72,-106.95
2023-08-21,9984.49,-101.23
2023-08-31,10395.62,411.13
2023-09-02,10250.32,-145.3
2023-09-04,9964.8,-285.52
2023-09-05,9518.4,-446.4
2023-09-08,9385.34,-133.06
2023-09-10,9224.91,-160.43
2023-09-11,9603.79,378.88
2023-09-12,9290.09,-313.7
2023-09-13,8958.43,-331.66
2023-09-14,8824.31,-134.12
2023-09-17,9187.22,362.91
2023-09-22,8842.7,-344.52
2023-09-26,8697.27,-145.43
2023-09-27,8783.98,86.71
2023-09-29,8659.68,-124.3
2023-10-02,8616.06,-43.62
2023-10-03,8757.28,141.22
2023-10-16,8712.81,-44.47
2023-10-20,8397.57,-315.24
2023-10-23,8280.17,-117.4
2023-10-24,8164.96,-115.21
2023-10-25,8051.53,-113.43
2023-10-31,7920.32,-131.21
2023-11-01,7808.04,-112.28
2023-11-08,7699.44,-108.6
2023-11-09,8016.93,317.49
2023-11-13,7905.69,-111.24
2023-11-21,8116.82,211.13
2023-11-22,8004.15,-112.67
2023-11-26,7892.93,-111.22
2023-11-27,8222.9,329.97
2023-11-30,8108.57,-114.33
2023-12-01,7879.89,-228.68
2023-12-03,7769.44,-110.45
2023-12-04,7642.5,-126.94
2023-12-06,7536.24,-106.26
2023-12-08,7431.47,-104.77
2023-12-10,7328.04,-103.43
2023-12-11,7450.61,122.57
2023-12-18,7653.86,203.25
2023-12-19,7575.5,-78.36
2023-12-26,7286.26,-289.24
2023-12-29,7248.25,-38.01
2024-01-02,7109.41,-138.84
2024-01-03,7072.96,-36.45
2024-01-08,7364.64,291.68
2024-01-11,7326.03,-38.61
2024-01-13,7124.58,-201.45
2024-01-23,7025.71,-98.87
2024-01-24,6928.37,-97.34
2024-01-27,7368.36,439.99
2024-01-30,7808.36,440.0
2024-02-09,7699.71,-108.65
2024-02-12,7592.42,-107.29
2024-02-20,7739.7,147.28
2024-02-22,7631.81,-107.89
2024-02-23,7593.12,-38.69
2024-02-27,7905.55,312.43
2024-02-28,7633.51,-272.04
2024-03-01,7527.48,-106.03
2024-03-04,7487.91,-39.57
2024-03-05,7448.31,-39.6
2024-03-09,7410.87,-37.44
2024-03-12,7206.08,-204.79
2024-03-13,7166.89,-39.19
2024-03-26,7066.73,-100.16
2024-03-28,7031.33,-35.4
2024-03-30,6995.86,-35.47
2024-04-02,7284.16,288.3
2024-04-10,7546.9,262.74
2024-04-12,7925.94,379.04
2024-04-13,8252.77,326.83
2024-04-15,8211.26,-41.51
2024-04-18,8170.14,-41.12
2024-04-19,8056.24,-113.9
2024-04-24,8387.81,331.57
2024-04-25,8719.25,331.44
2024-04-26,9020.85,301.6
2024-04-28,8894.93,-125.92
2024-04-30,10469.93,1575.0
2024-05-05,10836.09,366.16
2024-05-06,10684.82,-151.27
2024-05-07,10535.86,-148.96
2024-05-16,10482.94,-52.92
2024-05-17,10337.11,-145.83
2024-05-23,10160.23,-176.88
2024-05-24,9994.97,-165.26
2024-05-27,9854.53,-140.44
2024-05-29,10098.09,243.56
2024-05-30,10447.55,349.46
2024-06-02,10300.02,-147.53
2024-06-05,9773.06,-526.96
2024-06-07,9864.08,91.02
2024-06-08,9425.51,-438.57
2024-06-14,9760.72,335.21
2024-06-17,10130.06,369.34
2024-06-21,9988.8,-141.26
2024-06-24,10345.12,356.32
2024-06-29,11784.2,1439.08
2024-07-03,11212.59,-571.61
2024-07-05,11153.86,-58.73
2024-07-09,11094.94,-58.92
2024-07-16,11036.56,-58.38
2024-07-18,11434.89,398.33
2024-07-23,12003.65,568.76
2024-07-24,11752.02,-251.63
2024-07-25,11871.83,119.81
2024-07-30,12847.33,975.5
2024-07-31,12328.76,-518.57
2024-08-01,12469.24,140.48
2024-08-02,12766.65,297.41
2024-08-03,13785.59,1018.94
2024-08-04,13729.5,-56.09
2024-08-05,13657.63,-71.87
2024-08-10,13467.95,-189.68
2024-08-12,13096.98,-370.97
2024-08-18,12915.15,-181.83
2024-08-27,13267.27,352.12
2024-08-28,13198.83,-68.44
2024-09-02,12834.14,-364.69
2024-09-03,12314.82,-519.32
2024-09-06,12082.85,-231.97
2024-09-07,11912.44,-170.41
2024-09-08,11746.77,-165.67
2024-09-11,11687.01,-59.76
2024-09-18,12502.93,815.92
2024-09-19,13200.94,698.01
2024-09-20,13899.01,698.07
2024-09-22,13634.13,-264.88
2024-09-23,13442.08,-192.05
2024-09-24,14140.23,698.15
2024-09-30,13943.37,-196.86
2024-10-01,14324.33,380.96
2024-10-03,14125.51,-198.82
2024-10-07,14054.72,-70.79
2024-10-15,14563.32,508.6
2024-10-16,14361.27,-202.05
2024-10-22,14881.74,520.47
2024-10-23,14682.15,-199.59
2024-10-25,15282.75,600.6
2024-10-27,14951.87,-330.88
2024-10-28,15581.47,629.6
2024-10-29,15500.97,-80.5
2024-11-01,15285.59,-215.38
2024-11-02,15207.81,-77.78
2024-11-10,16036.46,828.65
2024-11-13,16944.97,908.51
2024-11-16,17853.43,908.46
2024-11-21,17605.31,-248.12
2024-11-24,18341.03,735.72
2024-11-26,18086.27,-254.76
2024-12-01,17290.11,-796.16
2024-12-02,17481.73,191.62
2024-12-04,17394.21,-87.52
2024-12-06,17303.04,-91.17
2024-12-09,17678.15,375.11
2024-12-10,17433.28,-244.87
2024-12-11,17188.25,-245.03
2024-12-12,18096.79,908.54
2024-12-15,17844.47,-252.32
2024-12-16,17596.04,-248.43
2024-12-19,18321.0,724.96
2024-12-20,18225.04,-95.96
2024-12-30,17970.81,-254.23
2024-12-31,17720.8,-250.01
2025-01-06,17631.71,-89.09
2025-01-07,17542.56,-89.15
2025-01-08,17183.61,-358.95
2025-01-13,17093.26,-90.35
2025-01-18,16617.48,-475.78
2025-01-19,16386.35,-231.13
2025-01-20,16300.45,-85.9
2025-01-21,16749.59,449.14
2025-01-27,18815.05,2065.46
2025-02-01,18626.41,-188.64
