stream,reason,n,pct_of_stream,avg_r,total_r
S1,SL,93,86.92,-1.0092,-93.86
S1,TP,14,13.08,11.9915,167.88
S2,SL,178,67.42,-1.0121,-180.15
S2,TP,86,32.58,2.9865,256.84
S3,SL,27,81.82,-0.8117,-21.92
S3,TP,6,18.18,4.2391,25.43
S4,BE,3,9.68,0.9892,2.97
S4,SL,28,90.32,-1.0108,-28.3
S5,SL,64,83.12,-1.0084,-64.54
S5,TP,13,16.88,4.9891,64.86
