year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2023,108,17.59,-0.2776,-1.009,-29.98,4.98,-1.03,28.98,23,-33.98,4.0,89,2,17
2024,174,29.89,0.7484,-1.0073,130.23,11.99,-1.16,18.24,13,128.23,2.0,122,1,51
2025,184,24.46,0.2077,-1.008,38.21,11.99,-1.15,31.74,29,38.21,0.0,139,0,45
2026,46,13.04,-0.2009,-1.011,-9.24,11.98,-1.02,29.38,29,-9.24,0.0,40,0,6
