stream,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,671,28.91,0.6126,-1.0104,411.03,11.99,-1.05,37.78,20,450.03,-39.0,477,130,64
S2,1915,29.35,0.1554,-1.0129,297.51,3.0,-1.1,80.63,35,297.51,0.0,1353,0,562
S3,225,29.78,0.6376,-0.7329,143.45,4.24,-1.79,16.01,18,143.45,0.0,158,0,67
S4,278,29.14,0.9633,-1.0114,267.81,19.49,-1.05,21.67,16,352.81,-85.0,197,60,21
S5,623,21.51,0.2773,-1.01,172.79,5.0,-1.05,63.01,35,172.79,0.0,489,0,134
