stream,reason,n,pct_of_stream,avg_r,total_r
S1,BE,130,19.37,0.9853,128.09
S1,SL,477,71.09,-1.0148,-484.05
S1,TP,64,9.54,11.9843,767.0
S2,SL,1353,70.65,-1.0183,-1377.74
S2,TP,562,29.35,2.9809,1675.25
S3,SL,158,70.22,-0.8885,-140.39
S3,TP,67,29.78,4.2364,283.84
S4,BE,60,21.58,0.9836,59.02
S4,SL,197,70.86,-1.0166,-200.27
S4,TP,21,7.55,19.4793,409.06
S5,SL,489,78.49,-1.0127,-495.23
S5,TP,134,21.51,4.9852,668.02
