year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2022,788,28.17,0.2165,-1.0095,170.63,19.48,-1.47,82.66,26,164.63,6.0,566,30,192
2023,732,26.23,0.4601,-1.013,336.78,19.49,-1.46,87.89,22,450.78,-114.0,540,48,144
2024,961,26.95,0.3516,-1.0122,337.89,19.49,-1.79,61.7,29,368.89,-31.0,702,58,201
2025,1077,29.25,0.3468,-1.0105,373.49,19.49,-1.36,72.3,37,380.49,-7.0,762,43,272
2026,154,32.47,0.4792,-1.0127,73.79,11.98,-1.15,31.75,23,51.79,22.0,104,11,39
