stream,mfe_bucket,n_trades,win_pct,avg_r,total_r,tp_hits,be_hits,sl_hits
S1,0-1R,311,0.0,-1.0148,-315.6,0,0,311
S1,1-2R,94,0.0,-1.0142,-95.34,0,0,94
S1,2-3.5R,68,0.0,-1.0149,-69.01,0,0,68
S1,3.5-6.5R,102,100.0,0.9857,100.55,0,102,0
S1,6.5-10R,22,100.0,0.9842,21.65,0,22,0
S1,<=0R,4,0.0,-1.0252,-4.1,0,0,4
S1,>10R,70,100.0,11.0412,772.89,64,6,0
S2,0-1R,873,0.0,-1.0185,-889.14,0,0,873
S2,1-2R,309,0.0,-1.0177,-314.47,0,0,309
S2,2-3.5R,617,73.58,1.9251,1187.77,454,0,163
S2,3.5-6.5R,101,100.0,2.9771,300.68,101,0,0
S2,6.5-10R,4,100.0,2.9751,11.9,4,0,0
S2,<=0R,8,0.0,-1.0186,-8.15,0,0,8
S2,>10R,3,100.0,2.9686,8.91,3,0,0
S3,0-1R,96,0.0,-0.8678,-83.31,0,0,96
S3,1-2R,37,0.0,-0.8454,-31.28,0,0,37
S3,2-3.5R,17,0.0,-0.98,-16.66,0,0,17
S3,3.5-6.5R,71,88.73,3.6308,257.78,63,0,8
S3,6.5-10R,4,100.0,4.2282,16.91,4,0,0
S4,0-1R,128,0.0,-1.0165,-130.11,0,0,128
S4,1-2R,38,0.0,-1.018,-38.68,0,0,38
S4,2-3.5R,28,0.0,-1.0156,-28.44,0,0,28
S4,3.5-6.5R,39,100.0,0.9848,38.41,0,39,0
S4,6.5-10R,13,100.0,0.981,12.75,0,13,0
S4,<=0R,3,0.0,-1.0137,-3.04,0,0,3
S4,>10R,29,100.0,14.3765,416.92,21,8,0
S5,0-1R,303,0.0,-1.0126,-306.82,0,0,303
S5,1-2R,99,0.0,-1.0129,-100.27,0,0,99
S5,2-3.5R,56,0.0,-1.013,-56.73,0,0,56
S5,3.5-6.5R,155,81.94,3.9021,604.83,127,0,28
S5,6.5-10R,4,100.0,4.9839,19.94,4,0,0
S5,<=0R,3,0.0,-1.0157,-3.05,0,0,3
S5,>10R,3,100.0,4.9654,14.9,3,0,0
