stream,year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,2022,135,4.44,-0.4342,-1.0105,-58.62,11.99,-1.03,70.27,63,-58.62,0.0,129,0,6
S1,2023,185,17.84,1.3037,-1.0115,241.18,11.99,-1.04,46.01,32,241.18,0.0,152,0,33
S1,2024,226,15.93,1.0567,-1.0119,238.82,11.99,-1.04,57.21,46,238.82,0.0,190,0,36
S1,2025,189,9.52,0.2232,-1.0122,42.18,11.99,-1.04,58.25,58,42.18,0.0,171,0,18
S1,2026,43,2.33,-0.7115,-1.0131,-30.6,11.98,-1.03,38.51,38,-30.6,0.0,42,0,1
S2,2022,430,32.79,0.2967,-1.0103,127.56,3.0,-1.04,38.89,30,127.56,0.0,289,0,141
S2,2023,351,23.36,-0.089,-1.0165,-31.23,2.99,-1.1,63.96,36,-31.23,0.0,269,0,82
S2,2024,486,27.57,0.0845,-1.0144,41.06,3.0,-1.05,64.21,35,41.06,0.0,352,0,134
S2,2025,590,31.86,0.2565,-1.012,151.36,2.99,-1.06,82.6,31,151.36,0.0,402,0,188
S2,2026,53,32.08,0.2637,-1.0147,13.98,2.99,-1.04,10.25,10,13.98,0.0,36,0,17
S3,2022,56,30.36,0.6755,-0.7224,37.83,4.24,-1.47,11.75,15,37.83,0.0,39,0,17
S3,2023,22,27.27,0.5339,-0.7086,11.74,4.24,-1.46,4.19,4,11.74,0.0,16,0,6
S3,2024,49,22.45,0.1882,-0.8119,9.22,4.24,-1.76,17.35,20,9.22,0.0,38,0,11
S3,2025,92,32.61,0.8075,-0.6646,74.29,4.24,-1.36,13.69,16,74.29,0.0,62,0,30
S3,2026,7,42.86,1.313,-0.5954,9.19,4.24,-1.15,2.92,4,9.19,0.0,4,0,3
S4,2022,41,17.07,-0.2206,-1.011,-9.04,19.48,-1.04,21.34,17,19.96,-29.0,34,6,1
S4,2023,91,27.47,1.7666,-1.0122,160.76,19.49,-1.05,14.28,13,173.76,-13.0,66,14,11
S4,2024,90,32.22,1.0678,-1.012,96.1,19.49,-1.03,21.67,13,134.1,-38.0,61,22,7
S4,2025,48,37.5,0.8899,-1.0095,42.72,19.49,-1.04,17.45,7,53.72,-11.0,30,15,3
S4,2026,4,50.0,-0.0175,-0.0188,-0.07,0.98,-1.02,2.03,2,-4.07,4.0,2,2,0
S5,2022,159,20.13,0.196,-1.0097,31.17,4.99,-1.05,25.46,17,31.17,0.0,127,0,32
S5,2023,97,18.56,0.098,-1.013,9.51,4.99,-1.03,35.5,35,9.51,0.0,79,0,18
S5,2024,131,16.03,-0.0512,-1.0102,-6.71,4.99,-1.03,18.43,13,-6.71,0.0,110,0,21
S5,2025,206,22.82,0.3557,-1.0096,73.28,5.0,-1.04,66.1,35,73.28,0.0,159,0,47
S5,2026,38,39.47,1.3531,-1.0096,51.42,4.99,-1.03,11.16,11,51.42,0.0,23,0,15
