year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2022,821,24.73,0.157,-1.0098,128.9,19.48,-1.47,97.61,60,157.9,-29.0,618,6,197
2023,746,21.98,0.5254,-1.0134,391.96,19.49,-1.46,103.71,65,404.96,-13.0,582,14,150
2024,982,23.52,0.3854,-1.0124,378.49,19.49,-1.76,50.59,31,416.49,-38.0,751,22,209
2025,1125,26.76,0.3412,-1.0109,383.83,19.49,-1.36,80.28,47,394.83,-11.0,824,15,286
2026,145,26.21,0.3029,-1.0129,43.92,11.98,-1.15,28.63,21,39.92,4.0,107,2,36
