sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
BTCUSDT,714,24.79,0.4579,-1.019,326.92,19.48,-1.76,47.3,19,368.42,-41.5,537,10,167
DOGEUSDT,617,22.53,0.2738,-1.01,168.95,19.49,-1.16,31.04,20,162.95,6.0,478,3,136
ETHUSDT,606,24.92,0.3837,-1.0137,232.5,19.48,-1.67,45.61,19,253.5,-21.0,455,10,141
LINKUSDT,649,24.96,0.2886,-1.0101,187.33,19.49,-1.37,37.7,23,167.33,20.0,487,10,152
SOLUSDT,667,25.49,0.374,-1.0097,249.43,19.49,-1.4,46.52,26,297.43,-48.0,497,17,153
XRPUSDT,566,24.38,0.2862,-1.012,161.98,19.49,-1.57,25.2,20,164.48,-2.5,428,9,129
