month,n_trades,total_r,avg_r,win_rate
2022-03,5,-1.6495684239841497,-0.3299136847968299,0.2
2022-04,1,-1.0556500000000002,-1.0556500000000002,0.0
2022-06,3,-2.121572322775265,-0.7071907742584217,0.0
2022-07,5,1.9157460677651743,0.3831492135530349,0.4
2022-08,1,-1.0052466960352422,-1.0052466960352422,0.0
2022-09,7,3.3827040601166725,0.4832434371595246,0.42857142857142855
2022-10,5,-1.742449504661993,-0.3484899009323986,0.2
2022-11,4,2.8905053749476286,0.7226263437369072,0.5
2022-12,1,-1.0133317073170731,-1.0133317073170731,0.0
2023-01,2,1.4283449954365814,0.7141724977182907,0.5
2023-02,2,1.4541390120967739,0.7270695060483869,0.5
2023-03,7,-0.09929806454735135,-0.014185437792478764,0.2857142857142857
2023-04,4,-4.104860585515684,-1.026215146378921,0.0
2023-05,3,1.5318126923076907,0.5106042307692302,0.6666666666666666
2023-06,5,-3.726999837467697,-0.7453999674935394,0.2
2023-07,4,-3.425478532867637,-0.8563696332169093,0.0
2023-09,1,-1.0298620000000003,-1.0298620000000003,0.0
2023-10,4,-0.5717853496503607,-0.14294633741259016,0.25
2023-11,4,4.381252303610385,1.0953130759025962,0.75
2023-12,2,-2.0410324408468243,-1.0205162204234122,0.0
2024-01,2,-2.0820999999999996,-1.0410499999999998,0.0
2024-02,7,-3.7285157668987594,-0.5326451095569656,0.14285714285714285
2024-03,1,-1.029164615384615,-1.029164615384615,0.0
2024-04,2,-2.1270026315789465,-1.0635013157894733,0.0
2024-06,1,-1.0184444444444445,-1.0184444444444445,0.0
2024-07,9,5.631359999600078,0.6257066666222308,0.4444444444444444
2024-08,2,-2.031508678670727,-1.0157543393353634,0.0
2024-09,5,-1.7924325518578113,-0.35848651037156226,0.2
2024-10,2,-2.156277499999997,-1.0781387499999986,0.0
2024-11,14,10.27050144969297,0.7336072464066408,0.5
2024-12,5,1.9303879441422762,0.3860775888284552,0.4
2025-01,7,3.3685448242146903,0.48122068917352717,0.42857142857142855
2025-02,1,0.5392808250572966,0.5392808250572966,1.0
2025-03,2,-2.0304890230520174,-1.0152445115260087,0.0
2025-04,3,-1.9608243063111477,-0.6536081021037159,0.3333333333333333
2025-05,1,1.9110710616438253,1.9110710616438253,1.0
2025-06,4,-0.9767700346543066,-0.24419250866357664,0.25
2025-07,15,2.012875404215392,0.13419169361435948,0.3333333333333333
2025-08,4,-0.060031025745973965,-0.015007756436493491,0.25
2025-09,5,-1.6471764328639666,-0.3294352865727933,0.2
2025-10,5,-1.8209780777205087,-0.36419561554410174,0.2
2025-11,3,1.6975741672762517,0.5658580557587506,0.6666666666666666
2025-12,2,1.3731346623496532,0.6865673311748266,0.5
2026-01,3,3.001939654413425,1.0006465514711416,0.6666666666666666
2026-02,3,0.4530141585408347,0.15100471951361158,0.3333333333333333
