sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
BTCUSDT,568,35.74,0.0225,-1.0153,12.8,19.48,-12.57,42.62,10,165.5,-152.7,365,153,50
DOGEUSDT,166,20.48,0.4933,-1.007,81.89,19.49,-1.16,13.82,15,75.89,6.0,132,3,31
ETHUSDT,522,37.93,0.0976,-1.0108,50.95,19.48,-2.63,58.76,8,237.45,-186.5,324,153,45
LINKUSDT,509,30.84,-0.1164,-1.0101,-59.24,19.49,-6.38,83.03,15,-16.74,-42.5,352,124,33
SOLUSDT,518,39.58,0.1326,-1.0061,68.66,19.49,-1.76,40.54,9,63.86,4.8,313,162,43
XRPUSDT,420,38.1,0.1837,-1.0066,77.15,19.49,-7.85,36.14,9,237.65,-160.5,260,126,34
