stream,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,1513,43.82,-0.2521,-1.0122,-381.37,12.16,-12.57,381.19,11,63.03,-444.4,850,662,1
S2,285,28.07,0.577,-0.6992,164.46,4.24,-1.76,22.02,26,164.46,0.0,205,0,80
S3,631,21.08,0.2515,-1.0101,158.67,5.0,-1.05,66.1,35,158.67,0.0,498,0,133
S4,274,29.56,1.0601,-1.0113,290.46,19.49,-1.05,21.67,17,377.46,-87.0,193,59,22
