year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2022,689,32.37,-0.1004,-1.0098,-69.17,19.48,-6.38,107.87,15,-24.47,-44.7,466,169,54
2023,580,38.79,0.195,-1.0103,113.11,19.49,-12.57,44.0,14,273.01,-159.9,355,189,36
2024,606,33.99,0.0495,-1.0096,29.99,19.49,-2.19,56.52,14,176.29,-146.3,400,164,42
2025,726,36.36,0.1627,-1.0081,118.09,19.49,-7.85,83.94,17,277.19,-159.1,462,178,86
2026,102,38.24,0.3941,-1.0088,40.19,4.99,-1.31,18.29,13,61.59,-21.4,63,21,18
