stream,sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,BTCUSDT,326,43.87,-0.3399,-1.0181,-110.8,5.49,-12.57,112.76,10,0.4,-111.2,183,143,0
S1,ETHUSDT,330,43.33,-0.2483,-1.0146,-81.94,8.98,-2.63,85.72,11,83.56,-165.5,187,143,0
S1,LINKUSDT,313,36.42,-0.3803,-1.0169,-119.02,5.49,-6.38,123.41,10,-56.52,-62.5,199,114,0
S1,SOLUSDT,315,46.03,-0.1687,-1.0077,-53.14,8.99,-1.76,56.7,10,-105.94,52.8,170,145,0
S1,XRPUSDT,229,51.53,-0.0719,0.574,-16.47,12.16,-7.85,24.72,6,141.53,-158.0,111,117,1
S2,BTCUSDT,45,33.33,0.8175,-0.6613,36.79,4.24,-1.76,7.98,8,36.79,0.0,30,0,15
S2,DOGEUSDT,38,21.05,0.2464,-0.7611,9.36,4.24,-1.16,10.89,13,9.36,0.0,30,0,8
S2,ETHUSDT,45,26.67,0.4575,-0.7735,20.59,4.24,-1.67,8.02,8,20.59,0.0,33,0,12
S2,LINKUSDT,55,30.91,0.7786,-0.5903,42.82,4.24,-1.37,8.19,11,42.82,0.0,38,0,17
S2,SOLUSDT,60,30.0,0.6466,-0.8314,38.79,4.24,-1.4,6.64,8,38.79,0.0,42,0,18
S2,XRPUSDT,42,23.81,0.3834,-0.6616,16.1,4.24,-1.57,8.99,8,16.1,0.0,32,0,10
S3,BTCUSDT,149,20.81,0.2288,-1.0157,34.1,4.99,-1.05,22.49,22,34.1,0.0,118,0,31
S3,DOGEUSDT,95,20.0,0.1898,-1.0087,18.03,4.99,-1.02,20.18,20,18.03,0.0,76,0,19
S3,ETHUSDT,105,28.57,0.7006,-1.0103,73.56,4.99,-1.02,9.59,9,73.56,0.0,75,0,30
S3,LINKUSDT,93,13.98,-0.1716,-1.0089,-15.96,4.99,-1.02,28.72,18,-15.96,0.0,80,0,13
S3,SOLUSDT,94,23.4,0.3941,-1.0083,37.05,5.0,-1.02,22.49,13,37.05,0.0,72,0,22
S3,XRPUSDT,95,18.95,0.1252,-1.0101,11.89,5.0,-1.03,17.65,13,11.89,0.0,77,0,18
S4,BTCUSDT,48,29.17,1.0984,-1.0197,52.72,19.48,-1.05,8.29,8,94.22,-41.5,34,10,4
S4,DOGEUSDT,33,21.21,1.6513,-1.0123,54.49,19.49,-1.03,9.23,9,48.49,6.0,26,3,4
S4,ETHUSDT,42,30.95,0.9225,-1.0129,38.74,19.48,-1.04,17.56,6,59.74,-21.0,29,10,3
S4,LINKUSDT,48,27.08,0.6857,-1.0105,32.91,19.49,-1.02,12.15,8,12.91,20.0,35,10,3
S4,SOLUSDT,49,40.82,0.9381,-1.0082,45.97,19.49,-1.02,10.14,5,93.97,-48.0,29,17,3
S4,XRPUSDT,54,25.93,1.2152,-1.0135,65.62,19.49,-1.03,15.47,11,68.12,-2.5,40,9,5
