stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r,sim_active,m1_daily_cap,balance_before,risk_pct,dollar_risk,dollar_pnl,balance_after
S5,TAOUSDT,-1,2024-04-16T12:00:00+00:00,2024-04-22T18:10:00+00:00,2024,480.7,514.27413423,312.82932884,33.57413423,5.0,-1.004295,-1.004295,0.0,SL,1803,150.17,1.6203,True,False,10000.0,0.5216,52.16,-52.38,9407.37
S2,TAOUSDT,-1,2024-04-17T12:00:00+00:00,2024-04-20T19:35:00+00:00,2024,462.2,484.26337001,396.00988996,22.06337001,3.0,-1.006285,-1.006285,0.0,SL,956,79.58,1.6271,True,False,10000.0,1.378,137.8,-138.67,9722.49
S3,TAOUSDT,-1,2024-04-17T12:00:00+00:00,2024-04-20T19:40:00+00:00,2024,462.2,484.806337,337.17423659,29.41782669,4.25,-0.773171,-0.773171,0.0,SL,957,79.67,1.2203,True,False,10000.0,3.3981,339.81,-262.73,9459.75
S2,TAOUSDT,-1,2024-04-19T23:00:00+00:00,2024-04-20T06:35:00+00:00,2024,437.2,454.4496146,385.45115621,17.2496146,3.0,-1.007604,-1.007604,0.0,SL,92,7.58,0.5218,True,False,10000.0,1.378,137.8,-138.85,9861.15
S5,TAOUSDT,-1,2024-04-24T19:00:00+00:00,2024-04-25T21:15:00+00:00,2024,450.1,472.00003272,340.59983642,21.90003272,5.0,-1.006166,-1.006166,0.0,SL,316,26.25,0.4658,True,False,9407.37,0.5216,49.07,-49.37,9227.2
S2,TAOUSDT,-1,2024-04-25T11:00:00+00:00,2024-04-25T17:00:00+00:00,2024,450.4,465.36238701,405.51283898,14.96238701,3.0,-1.009031,-1.009031,0.0,SL,73,6.0,0.1537,True,False,9407.37,1.378,129.63,-130.8,9276.57
S2,TAOUSDT,-1,2024-04-29T04:00:00+00:00,2024-04-29T10:35:00+00:00,2024,416.1,425.4726021,387.98219369,9.3726021,3.0,2.986681,2.986681,0.0,TP,80,6.58,3.7129,True,False,9227.2,1.378,127.15,379.76,9606.95
S2,TAOUSDT,-1,2024-04-29T07:00:00+00:00,2024-04-30T09:00:00+00:00,2024,407.5,417.63136182,377.10591455,10.13136182,3.0,2.987934,2.987934,0.0,TP,313,26.0,3.0006,True,False,9227.2,1.378,127.15,379.92,9986.87
S2,TAOUSDT,-1,2024-04-30T09:00:00+00:00,2024-04-30T22:50:00+00:00,2024,379.7,392.65064433,340.848067,12.95064433,3.0,-1.008796,-1.008796,0.0,SL,167,13.83,1.1119,True,False,9986.87,1.378,137.62,-138.83,9848.04
S1,TAOUSDT,1,2024-05-04T11:00:00+00:00,2024-05-05T01:25:00+00:00,2024,453.2,434.22769738,680.86763148,18.97230262,12.0,-1.007166,-1.007166,0.0,SL,174,14.42,0.8855,True,False,9848.04,0.4981,49.05,-49.4,9798.64
