stream,reason,n,pct_of_stream,avg_r,total_r
S1,SL,46,80.7,-1.0644,-48.96
S1,TP,11,19.3,11.9237,131.16
S2,SL,57,78.08,-1.0758,-61.32
S2,TP,16,21.92,2.9199,46.72
S3,SL,3,60.0,-1.1194,-3.36
S3,TP,2,40.0,4.2176,8.44
S4,BE,3,21.43,0.9416,2.82
S4,SL,8,57.14,-1.0491,-8.39
S4,TP,3,21.43,19.4355,58.31
