stream,year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,2025,47,17.02,1.1432,-1.0589,53.73,11.97,-1.12,12.93,12,53.73,0.0,39,0,8
S1,2026,10,30.0,2.847,-1.0363,28.47,11.95,-1.07,4.16,4,28.47,0.0,7,0,3
S2,2025,67,22.39,-0.1835,-1.0565,-12.29,2.97,-1.21,19.19,10,-12.29,0.0,52,0,15
S2,2026,6,16.67,-0.3851,-1.0537,-2.31,2.99,-1.08,4.24,4,-2.31,0.0,5,0,1
S3,2025,5,40.0,1.0154,-1.014,5.08,4.22,-1.32,2.33,2,5.08,0.0,3,0,2
S4,2025,12,33.33,1.1545,-1.0302,13.85,19.42,-1.08,5.48,4,50.85,-37.0,8,3,1
S4,2026,2,100.0,19.4426,19.4426,38.89,19.45,19.44,0.0,0,38.89,0.0,0,0,2
