year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2025,131,22.14,0.4608,-1.0556,60.37,19.42,-1.32,22.68,11,97.37,-37.0,102,3,26
2026,18,33.33,3.6136,-1.0395,65.04,19.45,-1.08,6.32,6,65.04,0.0,12,0,6
