month,n_trades,sum_r,pnl_usd,start_balance,end_balance,month_return_pct
2022-01,35,20.03822568513157,2098.2403624933286,10000.0,12098.240362493325,0.20982403624933244
2022-02,29,15.948879085803913,1950.6833354231217,12098.240362493325,14048.923697916449,0.16123694661172272
2022-03,33,58.693176356421084,10770.137679486474,14048.923697916449,24819.061377402926,0.7666165687186244
2022-04,47,24.227412283829135,6334.360931020516,24819.061377402926,31153.422308423455,0.2552216151408446
2022-05,30,25.13948135366069,8586.135118113652,31153.422308423455,39739.55742653711,0.27560808674917503
2022-06,23,1.9582687042682851,568.9790474696799,39739.55742653711,40308.536474006796,0.01431769965031715
2022-07,32,33.26785571036928,15222.645727124544,40308.536474006796,55531.18220113133,0.3776531489041024
2022-08,25,9.432906475060785,5168.549227161659,55531.18220113133,60699.73142829299,0.09307471986534366
2022-09,31,10.54303503876756,6379.937922809049,60699.73142829299,67079.66935110203,0.10510652638300244
2022-10,27,4.262261120411211,2537.7828092892923,67079.66935110203,69617.45216039132,0.03783236908945198
2022-11,24,4.20976625999675,2603.438024462804,69617.45216039132,72220.89018485413,0.037396341630899776
2022-12,24,19.115371114276826,14637.53152391956,72220.89018485413,86858.42170877368,0.20267725150512295
2023-01,30,20.587352811490923,18869.8490183372,86858.42170877368,105728.27072711088,0.21724835251561037
2023-02,31,40.95239750885515,50846.406705549496,105728.27072711088,156574.6774326604,0.48091590220733127
2023-03,27,41.361694240198155,76563.85484597669,156574.6774326604,233138.532278637,0.48899257594769874
2023-04,28,21.611297837878794,53404.61434995977,233138.532278637,286543.14662859694,0.2290681588667336
2023-05,39,17.442140135577866,50663.01955483054,286543.14662859694,337206.1661834274,0.17680764712372388
2023-06,35,4.264331342815067,11528.71422006669,337206.1661834274,348734.88040349405,0.034188918757183995
2023-07,25,30.53986279262475,119374.67417899115,348734.88040349405,468109.5545824853,0.34230781286022216
2023-08,37,18.371933739327815,88883.56608088102,468109.5545824853,556993.1206633664,0.1898777010867847
2023-09,39,23.211022867549204,136836.88437102133,556993.1206633664,693830.0050343875,0.24567069016588827
2023-10,31,-11.252700528083809,-75968.60073293289,693830.0050343875,617861.4043014545,-0.10949166248462805
2023-11,31,50.37560714643801,384521.9362530369,617861.4043014545,1002383.3405544914,0.6223433501041742
2023-12,26,-1.9005808499783479,-21286.90603639561,1002383.3405544914,981096.4345180958,-0.021236292718731953
2024-01,13,2.6198190663229433,24093.048490769983,981096.4345180958,1005189.4830088657,0.02455726842245043
2024-02,15,8.99161375091737,87636.82179433267,1005189.4830088657,1092826.3048031982,0.08718437993601613
2024-03,22,11.390351637684365,124076.48800080796,1092826.3048031982,1216902.792804006,0.11353724508228424
2024-04,40,14.404829063943707,172102.8940775908,1216902.792804006,1389005.6868815962,0.14142698586550861
2024-05,30,17.705915791657713,253931.96325805166,1389005.6868815962,1642937.650139648,0.1828156397459717
2024-06,28,28.14770663653334,503051.6033555144,1642937.650139648,2145989.2534951633,0.30619031909869276
2024-07,32,-13.397177061635746,-274510.3052322151,2145989.2534951633,1871478.9482629476,-0.12791783779211474
2024-08,38,21.83733780119798,426541.6684337688,1871478.9482629476,2298020.6166967168,0.2279168936576459
2024-09,50,56.8988243277438,1679941.5577381738,2298020.6166967168,3977962.1744348896,0.7310385057175859
2024-10,49,48.43540516765951,2349391.337567119,3977962.1744348896,6327353.512002008,0.5906017288615555
2024-11,42,6.34669681085072,353760.3753913424,6327353.512002008,6681113.887393351,0.05590969031844262
2024-12,29,15.906142771106039,1074414.8397084775,6681113.887393351,7755528.727101831,0.1608137292399403
2025-01,39,58.43148764541007,5857643.680624896,7755528.727101831,13613172.407726724,0.7552861818634304
2025-02,38,29.533775061198416,4440382.670686342,13613172.407726724,18053555.078413066,0.3261827983729948
2025-03,32,3.91458669020684,560135.8002411269,18053555.078413066,18613690.878654193,0.031026343443618654
2025-04,40,33.12530319398418,6896066.7081381,18613690.878654193,25509757.58679229,0.3704835732523295
2025-05,31,-3.1857978389094246,-866083.6981466328,25509757.58679229,24643673.88864566,-0.033951075199360026
2025-06,34,43.74205940440513,12754022.33244834,24643673.88864566,37397696.221094,0.5175373765323454
2025-07,39,19.997304314141118,7822119.282734535,37397696.221094,45219815.50382854,0.2091604583472313
2025-08,37,30.3688139341665,14848456.454364859,45219815.50382854,60068271.95819342,0.3283617212703518
2025-09,30,27.56461627803083,17998074.462123185,60068271.95819342,78066346.42031658,0.29962697236653546
2025-10,43,36.542032647817145,31771958.098625463,78066346.42031658,109838304.51894206,0.40698661530235136
2025-11,37,10.919828888499579,11192850.120846381,109838304.51894206,121031154.63978839,0.10190297610535382
2025-12,30,43.105387996545204,61988887.27977366,121031154.63978839,183020041.91956207,0.5121729811160138
2026-01,37,-10.33083455623833,-18843510.673727587,183020041.91956207,164176531.24583447,-0.10295872777697967
2026-02,27,28.929002346945424,53114089.64424688,164176531.24583447,217290620.89008132,0.32351816207345085
