exit_ts_utc,symbol,tp_r,r,equity_before,pnl_usd,return_pct_trade,equity_after,equity_peak,drawdown_usd,drawdown_pct,day,week_start,month
2022-01-05 01:20:00+00:00,XRPUSDT,8.0,0.676866355140191,10000.0,67.6866355140191,0.0067686635514019105,10067.68663551402,10067.68663551402,0.0,0.0,2022-01-05,2022-01-04,2022-01
2022-01-05 04:45:00+00:00,SOLUSDT,8.0,0.6354346153846046,10067.68663551402,63.97356585050574,0.006354346153846046,10131.660201364524,10131.660201364524,0.0,0.0,2022-01-05,2022-01-04,2022-01
2022-01-05 11:50:00+00:00,BTCUSDT,8.0,0.664547176670798,10131.660201364524,67.32966181804684,0.006645471766707981,10198.98986318257,10198.98986318257,0.0,0.0,2022-01-05,2022-01-04,2022-01
2022-01-06 00:00:00+00:00,BTCUSDT,8.0,-1.024648395284251,10198.98986318257,-104.50378596830363,-0.010246483952842509,10094.486077214267,10198.98986318257,104.50378596830342,-0.010246483952842445,2022-01-06,2022-01-04,2022-01
2022-01-06 00:00:00+00:00,ETHUSDT,8.0,-1.0705316602316604,10094.486077214267,-108.0646693942557,-0.010705316602316604,9986.421407820011,10198.98986318257,212.5684553625597,-0.020842108700383388,2022-01-06,2022-01-04,2022-01
2022-01-06 00:00:00+00:00,SOLUSDT,8.0,-1.039022131147541,9986.421407820011,-103.76112853690574,-0.01039022131147541,9882.660279283105,10198.98986318257,316.32958389946543,-0.03101577588986404,2022-01-06,2022-01-04,2022-01
2022-01-06 00:00:00+00:00,XRPUSDT,8.0,-1.0306846153846156,9882.660279283105,-101.85905908929726,-0.010306846153846156,9780.801220193807,10198.98986318257,418.1886429887636,-0.041002947213271246,2022-01-06,2022-01-04,2022-01
2022-01-08 20:00:00+00:00,SOLUSDT,8.0,-1.0089164948453608,9780.801220193807,-98.68011683857164,-0.010089164948453607,9682.121103355235,10198.98986318257,516.8687598273355,-0.05067842666391742,2022-01-08,2022-01-04,2022-01
2022-01-08 20:00:00+00:00,XRPUSDT,8.0,-1.0445411764705883,9682.121103355235,-101.13374168029388,-0.010445411764705884,9580.987361674941,10198.98986318257,618.0025015076299,-0.060594481394531274,2022-01-08,2022-01-04,2022-01
2022-01-09 19:35:00+00:00,SOLUSDT,8.0,0.6927659793814414,9580.987361674941,66.37382093051953,0.0069276597938144144,9647.36118260546,10198.98986318257,551.6286805771106,-0.05408659955320083,2022-01-09,2022-01-04,2022-01
2022-01-10 14:05:00+00:00,XRPUSDT,8.0,-1.0098082969432314,9647.36118260546,-97.41985365803059,-0.010098082969432313,9549.94132894743,10198.98986318257,649.0485342351403,-0.06363851155281042,2022-01-10,2022-01-04,2022-01
2022-01-10 16:00:00+00:00,BTCUSDT,8.0,-1.0876513285533518,9549.94132894743,-103.87006374036234,-0.010876513285533518,9446.071265207069,10198.98986318257,752.918597975502,-0.07382285972196811,2022-01-10,2022-01-04,2022-01
2022-01-11 04:50:00+00:00,XRPUSDT,8.0,0.6930856687898093,9446.071265207069,65.4693662028224,0.006930856687898092,9511.540631409891,10198.98986318257,687.4492317726799,-0.0674036586950939,2022-01-11,2022-01-11,2022-01
2022-01-11 05:05:00+00:00,SOLUSDT,8.0,0.6891756097560975,9511.540631409891,65.55121814371807,0.006891756097560974,9577.09184955361,10198.98986318257,621.898013628961,-0.06097643217334259,2022-01-11,2022-01-11,2022-01
2022-01-18 03:20:00+00:00,LINKUSDT,8.0,0.6671216589861684,9577.09184955361,63.890854029371155,0.006671216589861684,9640.98270358298,10198.98986318257,558.0071595995905,-0.05471200256938635,2022-01-18,2022-01-18,2022-01
2022-01-18 18:00:00+00:00,SOLUSDT,8.0,-1.0231893258426965,9640.98270358298,-98.64550592940168,-0.010231893258426966,9542.337197653578,10198.98986318257,656.6526655289927,-0.0643840884575686,2022-01-18,2022-01-18,2022-01
2022-01-18 20:05:00+00:00,ETHUSDT,8.0,0.6423417026526849,9542.337197653578,61.294411228268494,0.006423417026526849,9603.631608881848,10198.98986318257,595.3582543007233,-0.05837423728107749,2022-01-18,2022-01-18,2022-01
