chunk,n_trades,total_r,win_pct,max_dd_r,avg_hold_5m_bars
2022-01,24,-6.4603,37.5,9.1605,117.0
2022-02,17,-1.242,47.06,7.1038,53.6
2022-03,26,-2.5182,46.15,2.2831,54.5
2022-04,24,-0.5307,50.0,5.237,52.0
2022-05,24,-2.352,45.83,6.2036,107.7
2022-06,24,-10.3675,29.17,10.2811,79.3
2022-07,26,-4.4387,42.31,8.3726,69.1
2022-08,26,3.4215,57.69,4.2645,70.8
2022-09,26,3.5717,57.69,4.0905,86.9
2022-10,24,-4.4236,41.67,7.376,85.6
2022-11,24,-4.4048,41.67,9.3037,99.0
2022-12,23,2.3599,56.52,6.4275,110.1
2023-01,28,-0.6088,50.0,3.1577,89.2
2023-02,25,4.3129,60.0,4.2748,50.8
2023-03,18,-10.3691,22.22,9.3418,80.8
2023-04,23,2.4716,56.52,4.3772,93.9
2023-05,24,-2.7411,45.83,6.3994,50.4
2023-06,24,-6.5129,37.5,9.3239,97.6
2023-07,25,-1.6306,48.0,10.4049,82.8
2023-08,21,-1.5783,47.62,4.3769,86.2
2023-09,22,-4.7626,40.91,6.4742,77.4
2023-10,29,6.0354,62.07,4.2126,110.6
2023-11,20,1.595,55.0,6.2,109.5
2023-12,26,-12.6663,26.92,13.5178,66.3
2024-01,23,-1.6511,47.83,8.5119,66.6
2024-02,32,1.0935,53.12,7.5061,80.4
2024-03,27,-1.4544,48.15,5.2954,77.1
2024-04,24,-2.5031,45.83,4.3979,97.7
2024-05,27,-9.751,33.33,8.7339,67.0
2024-06,28,1.0694,53.57,5.4593,73.6
2024-07,22,-2.4703,45.45,6.2703,92.8
2024-08,20,-8.3979,30.0,7.386,127.7
2024-09,23,-5.6364,39.13,7.2998,62.0
2024-10,25,-5.775,40.0,7.5514,90.2
2024-11,16,-2.2092,43.75,4.0837,57.8
2024-12,23,6.7294,65.22,2.0296,80.4
2025-01,22,1.6674,54.55,4.1086,128.9
2025-02,22,-2.3205,45.45,3.1472,84.5
2025-03,21,-7.3508,33.33,7.1075,113.6
2025-04,22,-0.4043,50.0,5.3411,99.2
2025-05,27,2.3906,55.56,4.1338,75.7
2025-06,24,-4.6138,41.67,7.5436,45.7
2025-07,18,-0.3841,50.0,3.1312,97.4
2025-08,25,4.4786,60.0,3.0503,82.6
2025-09,23,0.3729,52.17,5.2415,97.9
2025-10,23,-7.4565,34.78,7.3809,59.3
2025-11,29,2.5246,55.17,4.1252,101.3
2025-12,28,1.2359,53.57,2.2673,62.9
2026-01,23,-5.6003,39.13,4.5642,76.0
2026-02,20,-4.3167,40.0,5.2788,63.5
