chunk,n_trades,total_r,win_pct,max_dd_r,avg_hold_5m_bars
2022-01,24,-6.4603,25.0,9.3436,172.5
2022-02,17,-2.242,29.41,7.1038,107.6
2022-03,26,-2.5182,30.77,4.4039,109.1
2022-04,24,-6.5307,25.0,8.2993,120.6
2022-05,24,-9.352,20.83,12.2435,173.6
2022-06,24,-12.3675,16.67,11.3523,128.0
2022-07,26,-5.4387,26.92,10.3837,109.1
2022-08,25,4.4428,40.0,5.2163,156.8
2022-09,26,0.5593,34.62,4.1722,224.1
2022-10,25,-1.4325,32.0,9.3195,136.7
2022-11,24,-3.4048,29.17,10.3037,211.0
2022-12,22,-7.6156,22.73,12.4519,278.8
2023-01,29,12.3667,48.28,4.1577,175.8
2023-02,24,2.3407,37.5,7.2589,158.0
2023-03,19,-7.3969,21.05,9.3691,93.8
2023-04,23,0.4716,34.78,5.3789,246.4
2023-05,24,-0.7411,33.33,5.1557,114.6
2023-06,23,-8.4985,21.74,13.3489,139.2
2023-07,26,3.355,38.46,10.3824,172.7
2023-08,21,5.4217,42.86,4.0713,182.8
2023-09,22,1.2374,36.36,6.313,115.1
2023-10,29,3.0354,37.93,5.55,163.8
2023-11,20,3.595,40.0,8.2469,259.9
2023-12,26,-8.6663,23.08,10.3917,102.5
2024-01,23,0.3489,34.78,8.525,112.3
2024-02,32,-11.9065,21.88,16.8315,140.4
2024-03,27,5.5456,40.74,5.1641,136.5
2024-04,24,5.4969,41.67,4.0793,190.7
2024-05,27,-9.751,22.22,8.7339,127.9
2024-06,26,-5.8824,26.92,6.7617,231.2
2024-07,24,2.4815,37.5,10.3359,268.5
2024-08,20,-5.3979,25.0,6.1404,242.8
2024-09,23,-8.6364,21.74,9.5721,97.2
2024-10,25,-7.775,24.0,9.7543,166.4
2024-11,16,-1.2092,31.25,6.0724,147.9
2024-12,22,7.743,45.45,3.0457,152.3
2025-01,21,-0.3205,33.33,4.1346,210.6
2025-02,24,-12.3463,16.67,13.3205,188.3
2025-03,21,-12.3508,14.29,11.3347,253.5
2025-04,22,7.5957,45.45,3.0426,209.3
2025-05,27,-6.6094,25.93,7.5554,177.9
2025-06,24,-0.6138,33.33,8.3756,127.0
2025-07,18,-0.3841,33.33,5.1482,157.1
2025-08,25,10.4786,48.0,6.1147,146.6
2025-09,23,0.3729,34.78,4.1097,202.2
2025-10,23,-5.4565,26.09,5.3898,109.8
2025-11,29,3.5246,37.93,5.1469,177.1
2025-12,28,13.2359,50.0,2.1657,96.3
2026-01,23,0.3997,34.78,4.1389,157.6
2026-02,20,-5.3167,25.0,6.2949,166.8
