symbol,n_trades,n_chunks_with_trades,baseline_total_r,managed_total_r,baseline_delta_r,win_pct,max_dd_r,avg_hold_h
BTCUSDT,335,49,339.4793736611656,248.47937366116597,-90.99999999999963,51.64179104477612,23.194073380067277,6.90547263681592
ETHUSDT,333,50,449.0907464676327,242.99074646763256,-206.10000000000014,46.846846846846844,27.19281543885451,5.612362362362362
XRPUSDT,244,43,344.3985905437165,256.09859054371657,-88.29999999999995,55.32786885245902,8.516743654761305,22.62841530054645
SOLUSDT,356,49,222.24833732889186,295.8483373288919,73.60000000000002,52.52808988764045,12.927742349777134,9.601123595505618
LINKUSDT,317,45,188.94557048281973,209.24557048281974,20.30000000000001,49.52681388012618,12.540950447137917,14.69006309148265
