sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
BTCUSDT,565,25.84,0.5183,-1.0202,292.82,19.48,-1.76,36.01,17,334.32,-41.5,419,10,136
DOGEUSDT,522,22.99,0.2891,-1.0102,150.91,19.49,-1.16,31.97,15,144.91,6.0,402,3,117
ETHUSDT,501,24.15,0.3172,-1.0148,158.94,19.48,-1.67,40.33,17,179.94,-21.0,380,10,111
LINKUSDT,556,26.8,0.3656,-1.0103,203.29,19.49,-1.37,31.68,20,183.29,20.0,407,10,139
SOLUSDT,573,25.83,0.3707,-1.0099,212.38,19.49,-1.4,44.4,31,260.38,-48.0,425,17,131
XRPUSDT,471,25.48,0.3187,-1.0125,150.08,19.49,-1.57,22.89,17,152.58,-2.5,351,9,111
