stream,sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,BTCUSDT,146,17.12,1.204,-1.0194,175.78,11.99,-1.04,23.64,23,175.78,0.0,121,0,25
S1,DOGEUSDT,139,10.07,0.2987,-1.0091,41.52,11.99,-1.03,21.56,20,41.52,0.0,125,0,14
S1,ETHUSDT,122,13.11,0.6887,-1.0147,84.02,11.99,-1.03,37.68,37,84.02,0.0,106,0,16
S1,LINKUSDT,126,10.32,0.3299,-1.0106,41.56,11.99,-1.02,26.28,26,41.56,0.0,113,0,13
S1,SOLUSDT,132,13.64,0.7617,-1.0102,100.54,11.99,-1.02,30.5,26,100.54,0.0,114,0,18
S1,XRPUSDT,113,7.08,-0.0926,-1.0125,-10.46,11.99,-1.04,32.41,33,-10.46,0.0,105,0,8
S2,BTCUSDT,335,28.36,0.1066,-1.0214,35.7,2.99,-1.07,25.25,20,35.7,0.0,240,0,95
S2,DOGEUSDT,318,28.62,0.1293,-1.0114,41.11,3.0,-1.04,29.91,14,41.11,0.0,227,0,91
S2,ETHUSDT,302,27.48,0.078,-1.0156,23.57,2.99,-1.1,25.45,11,23.57,0.0,219,0,83
S2,LINKUSDT,340,31.76,0.2559,-1.0106,87.0,3.0,-1.03,25.7,14,87.0,0.0,232,0,108
S2,SOLUSDT,341,27.57,0.0887,-1.0112,30.23,3.0,-1.03,43.88,23,30.23,0.0,247,0,94
S2,XRPUSDT,274,33.21,0.3106,-1.0131,85.11,3.0,-1.05,12.67,12,85.11,0.0,183,0,91
S3,BTCUSDT,36,33.33,0.7949,-0.6835,28.61,4.24,-1.76,6.29,7,28.61,0.0,24,0,12
S3,DOGEUSDT,32,25.0,0.4307,-0.7611,13.78,4.24,-1.16,9.38,11,13.78,0.0,24,0,8
S3,ETHUSDT,35,25.71,0.3602,-0.9174,12.61,4.24,-1.67,7.14,7,12.61,0.0,26,0,9
S3,LINKUSDT,42,35.71,0.9954,-0.5965,41.81,4.24,-1.37,5.96,8,41.81,0.0,27,0,15
S3,SOLUSDT,51,31.37,0.6988,-0.8496,35.64,4.24,-1.4,5.08,6,35.64,0.0,35,0,16
S3,XRPUSDT,30,23.33,0.3274,-0.6808,9.82,4.24,-1.57,10.28,9,9.82,0.0,23,0,7
S4,BTCUSDT,48,29.17,1.0984,-1.0197,52.72,19.48,-1.05,8.29,8,94.22,-41.5,34,10,4
S4,DOGEUSDT,33,21.21,1.6513,-1.0123,54.49,19.49,-1.03,9.23,9,48.49,6.0,26,3,4
S4,ETHUSDT,42,30.95,0.9225,-1.0129,38.74,19.48,-1.04,17.56,6,59.74,-21.0,29,10,3
S4,LINKUSDT,48,27.08,0.6857,-1.0105,32.91,19.49,-1.02,12.15,8,12.91,20.0,35,10,3
S4,SOLUSDT,49,40.82,0.9381,-1.0082,45.97,19.49,-1.02,10.14,5,93.97,-48.0,29,17,3
S4,XRPUSDT,54,25.93,1.2152,-1.0135,65.62,19.49,-1.03,15.47,11,68.12,-2.5,40,9,5
