year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2022,662,25.83,0.1476,-1.0099,97.73,19.48,-1.47,82.07,52,126.73,-29.0,491,6,165
2023,649,22.5,0.5893,-1.0135,382.45,19.49,-1.46,87.83,53,395.45,-13.0,503,14,132
2024,851,24.68,0.4526,-1.0128,385.2,19.49,-1.76,50.09,28,423.2,-38.0,641,22,188
2025,919,27.64,0.3379,-1.0112,310.54,19.49,-1.36,71.07,41,321.54,-11.0,665,15,239
2026,107,21.5,-0.0701,-1.0132,-7.5,11.98,-1.15,22.45,19,-11.5,4.0,84,2,21
