symbol,tp_r,entry_ts_utc,replay_from_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars,delta_r,audit_scope
XRPUSDT,2.0,2022-03-09T16:00:00+00:00,2022-03-09T17:00:00+00:00,2022-03-09T17:40:00+00:00,195,1,0.7619,0.7584,0.0035000000000000586,0.7689000000000001,,,,,,,,,14,20,2.0,3.0,1.9346942857142868,1.9346942857142868,TP,9,0.0,all_rows
XRPUSDT,2.0,2022-03-12T01:00:00+00:00,2022-03-12T02:00:00+00:00,2022-03-12T04:10:00+00:00,252,1,0.839,0.8088,0.030200000000000005,0.8994,,,,,,,,,14,20,2.0,3.0,-1.0083344370860927,-1.0083344370860927,SL,27,0.0,all_rows
XRPUSDT,2.0,2022-03-17T13:00:00+00:00,2022-03-17T14:00:00+00:00,2022-03-17T17:10:00+00:00,384,1,0.7966,0.7889,0.007699999999999929,0.8119999999999998,,,,,,,,,14,20,2.0,3.0,-1.031036363636364,-1.031036363636364,SL,39,0.0,all_rows
XRPUSDT,2.0,2022-03-28T14:00:00+00:00,2022-03-28T15:00:00+00:00,2022-03-28T16:15:00+00:00,649,1,0.8854,0.8741,0.011299999999999977,0.9079999999999999,,,,,,,,,14,20,2.0,3.0,-1.0235061946902655,-1.0235061946902655,SL,16,0.0,all_rows
XRPUSDT,2.0,2022-03-28T19:00:00+00:00,2022-03-28T20:00:00+00:00,2022-03-28T21:35:00+00:00,654,1,0.8982,0.8856,0.012599999999999945,0.9233999999999999,,,,,,,,,14,20,2.0,3.0,-1.0213857142857143,-1.0213857142857143,SL,20,0.0,all_rows
XRPUSDT,2.0,2022-04-15T21:00:00+00:00,2022-04-15T22:00:00+00:00,2022-04-15T23:20:00+00:00,1040,1,0.7791,0.7749,0.0041999999999999815,0.7875,,,,,,,,,14,20,2.0,3.0,-1.0556500000000002,-1.0556500000000002,SL,17,0.0,all_rows
XRPUSDT,2.0,2022-05-30T21:00:00+00:00,2022-05-30T22:00:00+00:00,2022-06-01T17:00:00+00:00,2120,1,0.4165,0.4035,0.012999999999999956,0.4424999999999999,,,,,,,,,14,20,2.0,3.0,-1.0096115384615385,-1.0096115384615385,SL,517,0.0,all_rows
XRPUSDT,2.0,2022-06-06T10:00:00+00:00,2022-06-06T11:00:00+00:00,2022-06-06T11:10:00+00:00,2277,1,0.4068,0.4056,0.0011999999999999789,0.40919999999999995,,,,,,,,,14,20,2.0,3.0,-1.101700000000002,-1.101700000000002,SL,3,0.0,all_rows
XRPUSDT,2.0,2022-06-24T02:00:00+00:00,2022-06-24T03:00:00+00:00,2022-06-26T02:55:00+00:00,2701,1,0.3644,0.344,0.02040000000000003,0.40520000000000006,,,,,,,,,14,20,2.0,3.0,-0.010260784313724935,-0.010260784313724935,TIME,576,0.0,all_rows
XRPUSDT,2.0,2022-07-07T15:00:00+00:00,2022-07-07T16:00:00+00:00,2022-07-07T18:25:00+00:00,3026,1,0.3338,0.3312,0.002599999999999991,0.33899999999999997,,,,,,,,,14,20,2.0,3.0,1.9614846153846153,1.9614846153846153,TP,30,0.0,all_rows
