symbol,n_trades,n_chunks_with_trades,baseline_total_r,managed_total_r,baseline_delta_r,win_pct,max_dd_r,avg_hold_h
BTCUSDT,202,47,-121.86074207483418,-69.36074207483423,52.49999999999994,40.5940594059406,70.29831444263806,13.150577557755776
ETHUSDT,191,48,-71.20161851425958,-58.601618514259776,12.599999999999802,43.97905759162304,59.09824781165175,5.316753926701571
XRPUSDT,162,43,69.70886147111096,-1.4911385288891497,-71.20000000000012,54.32098765432099,11.381301006452025,32.91975308641975
SOLUSDT,190,47,-3.199715896848902,-28.799715896848927,-25.600000000000023,46.8421052631579,32.53903831810185,8.399122807017543
LINKUSDT,178,46,-51.886880717733334,-49.18688071773314,2.7000000000001947,45.50561797752809,48.46613176507486,8.632958801498127
