year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2022,179,27.93,0.2421,-1.008,43.34,11.99,-1.43,30.29,29,43.34,0.0,129,0,50
2023,150,21.33,0.4335,-1.0114,65.02,19.49,-1.04,25.81,20,61.02,4.0,118,2,30
2024,217,25.35,0.2559,-1.0102,55.52,11.99,-1.42,21.84,11,47.52,8.0,162,4,51
2025,230,26.52,0.2217,-1.0094,51.0,11.99,-1.27,40.22,22,84.0,-33.0,169,4,57
2026,35,31.43,0.5865,-1.0117,20.53,4.99,-1.02,11.19,8,20.53,0.0,24,0,11
