stream,reason,n,pct_of_stream,avg_r,total_r
S1,SL,173,93.01,-1.0108,-174.86
S1,TP,13,6.99,11.9894,155.86
S2,SL,241,62.92,-1.0137,-244.31
S2,TP,142,37.08,2.9846,423.82
S3,SL,32,68.09,-0.9072,-29.03
S3,TP,15,31.91,4.2388,63.58
S4,BE,10,14.29,0.9893,9.89
S4,SL,57,81.43,-1.0132,-57.75
S4,TP,3,4.29,19.491,58.47
S5,SL,99,79.2,-1.01,-99.99
S5,TP,26,20.8,4.9896,129.73
