stream,n_trades,baseline_total_r,managed_total_r,saved_r,saved_per_trade,n_improved,n_worse,n_unchanged,avg_save_improved,avg_hurt_worse,baseline_win_pct,managed_win_pct
S1,186,-19.0,-19.0,0.0,0.0,0,0,186,0.0,0.0,6.99,6.99
S2,383,179.51,179.51,0.0,0.0,0,0,383,0.0,0.0,37.08,37.08
S3,47,34.55,34.55,0.0,0.0,0,0,47,0.0,0.0,31.91,31.91
S4,70,31.61,10.61,-21.0,-0.3,8,2,60,2.0,-18.5,7.14,18.57
S5,125,29.74,29.74,0.0,0.0,0,0,125,0.0,0.0,20.8,20.8
