stream,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,186,6.99,-0.1022,-1.0103,-19.0,11.99,-1.03,40.73,29,-19.0,0.0,173,0,13
S2,383,37.08,0.4687,-1.0097,179.51,3.0,-1.04,18.89,15,179.51,0.0,241,0,142
S3,47,31.91,0.7351,-0.772,34.55,4.24,-1.43,9.07,10,34.55,0.0,32,0,15
S4,70,18.57,0.1516,-1.0115,10.61,19.49,-1.04,32.54,15,31.61,-21.0,57,10,3
S5,125,20.8,0.2379,-1.0089,29.74,4.99,-1.02,31.68,18,29.74,0.0,99,0,26
