stream,year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,2022,35,2.86,-0.6381,-1.0083,-22.33,11.99,-1.03,21.32,18,-22.33,0.0,34,0,1
S1,2023,47,8.51,0.0952,-1.0102,4.47,11.99,-1.02,29.36,29,4.47,0.0,43,0,4
S1,2024,48,12.5,0.6145,-1.0103,29.5,11.99,-1.02,16.17,16,29.5,0.0,42,0,6
S1,2025,45,4.44,-0.4334,-1.0116,-19.51,11.99,-1.02,21.24,22,-19.51,0.0,43,0,2
S1,2026,11,0.0,-1.0121,-1.0116,-11.13,-1.01,-1.02,10.12,11,-11.13,0.0,11,0,0
S2,2022,95,42.11,0.6717,-1.0071,63.81,3.0,-1.03,14.15,14,63.81,0.0,55,0,40
S2,2023,60,31.67,0.2472,-1.0119,14.83,2.99,-1.04,12.13,12,14.83,0.0,41,0,19
S2,2024,98,39.8,0.5778,-1.0088,56.63,2.99,-1.02,11.24,11,56.63,0.0,59,0,39
S2,2025,117,33.33,0.3199,-1.0106,37.43,2.99,-1.02,18.89,15,37.43,0.0,78,0,39
S2,2026,13,38.46,0.5238,-1.013,6.81,2.99,-1.02,4.05,4,6.81,0.0,8,0,5
S3,2022,11,36.36,0.9318,-0.7092,10.25,4.24,-1.43,3.24,3,10.25,0.0,7,0,4
S3,2023,3,33.33,0.9245,-0.5805,2.77,4.23,-0.88,1.46,2,2.77,0.0,2,0,1
S3,2024,11,36.36,0.9116,-0.8557,10.03,4.24,-1.42,1.89,3,10.03,0.0,7,0,4
S3,2025,22,27.27,0.5228,-0.7974,11.5,4.24,-1.27,9.07,10,11.5,0.0,16,0,6
S4,2022,8,0.0,-1.016,-1.0116,-8.13,-1.01,-1.03,7.12,8,-8.13,0.0,8,0,0
S4,2023,15,33.33,3.3514,-1.0106,50.27,19.49,-1.04,8.18,6,46.27,4.0,10,2,3
S4,2024,33,12.12,-0.7689,-1.0119,-25.37,0.99,-1.02,26.37,15,-33.37,8.0,29,4,0
S4,2025,11,36.36,-0.2829,-1.0067,-3.11,0.99,-1.01,4.1,4,29.89,-33.0,7,4,0
S4,2026,3,0.0,-1.0153,-1.0148,-3.05,-1.01,-1.02,2.03,3,-3.05,0.0,3,0,0
S5,2022,30,16.67,-0.0086,-1.0078,-0.26,4.99,-1.02,12.1,12,-0.26,0.0,25,0,5
S5,2023,25,12.0,-0.2932,-1.0119,-7.33,4.99,-1.02,14.17,14,-7.33,0.0,22,0,3
S5,2024,27,7.41,-0.5652,-1.0102,-15.26,4.99,-1.01,20.19,20,-15.26,0.0,25,0,2
S5,2025,35,28.57,0.7053,-1.0077,24.69,4.99,-1.01,18.17,18,24.69,0.0,25,0,10
S5,2026,8,75.0,3.4874,4.9873,27.9,4.99,-1.01,2.03,2,27.9,0.0,2,0,6
