stream,sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,ONDOUSDT,42,2.38,-0.702,-1.0113,-29.48,11.99,-1.02,36.4,36,-29.48,0.0,41,0,1
S1,TAOUSDT,81,11.11,0.4355,-1.0082,35.27,12.0,-1.02,26.28,26,35.27,0.0,72,0,9
S2,ONDOUSDT,93,30.11,0.1903,-1.0121,17.7,2.99,-1.02,18.49,12,17.7,0.0,65,0,28
S2,TAOUSDT,198,32.32,0.2824,-1.0082,55.92,3.0,-1.02,20.27,20,55.92,0.0,134,0,64
S3,ONDOUSDT,13,30.77,0.6447,-0.7076,8.38,4.24,-1.31,4.8,5,8.38,0.0,9,0,4
S3,TAOUSDT,31,22.58,0.3538,-0.6882,10.97,4.25,-1.29,4.75,6,10.97,0.0,24,0,7
S4,ONDOUSDT,15,13.33,-0.7453,-1.0119,-11.18,0.99,-1.02,12.16,9,5.32,-16.5,13,2,0
S4,TAOUSDT,9,22.22,1.4929,-1.006,13.44,19.49,-1.01,7.05,7,11.44,2.0,7,1,1
S5,ONDOUSDT,25,24.0,0.429,-1.0103,10.72,4.99,-1.02,7.07,8,10.72,0.0,19,0,6
S5,TAOUSDT,51,17.65,0.0509,-1.0067,2.6,4.99,-1.01,22.32,19,2.6,0.0,42,0,9
