stream,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,123,8.13,0.0471,-1.0092,5.79,12.0,-1.02,55.59,55,5.79,0.0,113,0,10
S2,291,31.62,0.253,-1.009,73.62,3.0,-1.02,34.63,24,73.62,0.0,199,0,92
S3,44,25.0,0.4398,-0.7054,19.35,4.25,-1.31,6.94,8,19.35,0.0,33,0,11
S4,24,16.67,0.094,-1.0082,2.26,19.49,-1.02,17.21,9,16.76,-14.5,20,3,1
S5,76,19.74,0.1753,-1.0077,13.32,4.99,-1.02,26.37,23,13.32,0.0,61,0,15
