sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
ONDOUSDT,188,21.81,-0.0205,-1.0112,-3.86,11.99,-1.31,43.37,30,12.64,-16.5,147,2,39
TAOUSDT,370,24.59,0.3194,-1.0075,118.19,19.49,-1.29,22.91,16,116.19,2.0,279,1,90
