stream,reason,n,pct_of_stream,avg_r,total_r
S1,SL,113,91.87,-1.0099,-114.11
S1,TP,10,8.13,11.9904,119.9
S2,SL,199,68.38,-1.0118,-201.35
S2,TP,92,31.62,2.9888,274.97
S3,SL,33,75.0,-0.8275,-27.31
S3,TP,11,25.0,4.2415,46.66
S4,BE,3,12.5,0.9872,2.96
S4,SL,20,83.33,-1.0099,-20.2
S4,TP,1,4.17,19.4918,19.49
S5,SL,61,80.26,-1.0088,-61.53
S5,TP,15,19.74,4.9903,74.86
