year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2024,131,27.48,0.294,-1.0063,38.51,12.0,-1.29,12.6,13,36.51,2.0,95,1,35
2025,306,25.82,0.2568,-1.0088,78.57,11.99,-1.31,35.48,22,95.07,-16.5,227,2,77
2026,121,14.05,-0.0227,-1.0106,-2.75,19.49,-1.07,26.61,24,-2.75,0.0,104,0,17
