stream,mfe_bucket,n_trades,win_pct,avg_r,total_r,tp_hits,be_hits,sl_hits
S1,0-1R,59,0.0,-1.009,-59.53,0,0,59
S1,1-2R,25,0.0,-1.0105,-25.26,0,0,25
S1,2-3.5R,11,0.0,-1.0113,-11.12,0,0,11
S1,3.5-6.5R,9,0.0,-1.0104,-9.09,0,0,9
S1,6.5-10R,8,0.0,-1.0113,-8.09,0,0,8
S1,>10R,11,90.91,10.8083,118.89,10,0,1
S2,0-1R,134,0.0,-1.0115,-135.54,0,0,134
S2,1-2R,46,0.0,-1.0121,-46.56,0,0,46
S2,2-3.5R,98,84.69,2.3761,232.86,83,0,15
S2,3.5-6.5R,7,100.0,2.9886,20.92,7,0,0
S2,<=0R,4,0.0,-1.0117,-4.05,0,0,4
S2,>10R,2,100.0,2.992,5.98,2,0,0
S3,0-1R,23,0.0,-0.7985,-18.36,0,0,23
S3,1-2R,6,0.0,-0.7757,-4.65,0,0,6
S3,2-3.5R,4,0.0,-1.0722,-4.29,0,0,4
S3,3.5-6.5R,11,100.0,4.2415,46.66,11,0,0
S4,0-1R,12,0.0,-1.0095,-12.11,0,0,12
S4,1-2R,6,0.0,-1.0101,-6.06,0,0,6
S4,2-3.5R,2,0.0,-1.0113,-2.02,0,0,2
S4,3.5-6.5R,1,100.0,0.9833,0.98,0,1,0
S4,>10R,3,100.0,7.1567,21.47,1,2,0
S5,0-1R,41,0.0,-1.0086,-41.35,0,0,41
S5,1-2R,9,0.0,-1.0096,-9.09,0,0,9
S5,2-3.5R,3,0.0,-1.0073,-3.02,0,0,3
S5,3.5-6.5R,19,68.42,3.0958,58.82,13,0,6
S5,6.5-10R,2,100.0,4.9885,9.98,2,0,0
S5,<=0R,2,0.0,-1.0075,-2.02,0,0,2
