stream,year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,2024,24,8.33,0.0766,-1.0065,1.84,12.0,-1.01,9.06,10,1.84,0.0,22,0,2
S1,2025,64,9.38,0.208,-1.0098,13.31,11.99,-1.02,37.41,37,13.31,0.0,58,0,6
S1,2026,35,5.71,-0.2674,-1.0102,-9.36,11.99,-1.02,17.17,18,-9.36,0.0,33,0,2
S2,2024,74,37.84,0.5037,-1.0075,37.28,2.99,-1.01,7.07,7,37.28,0.0,46,0,28
S2,2025,161,36.02,0.429,-1.0087,69.06,3.0,-1.02,16.32,13,69.06,0.0,103,0,58
S2,2026,56,10.71,-0.5842,-1.0126,-32.72,2.99,-1.02,32.53,24,-32.72,0.0,50,0,6
S3,2024,14,21.43,0.3229,-0.6208,4.52,4.24,-1.29,3.76,5,4.52,0.0,11,0,3
S3,2025,22,36.36,0.9894,-0.6888,21.77,4.25,-1.31,5.38,6,21.77,0.0,14,0,8
S3,2026,8,0.0,-0.8674,-0.843,-6.94,-0.7,-1.07,6.08,8,-6.94,0.0,8,0,0
S4,2024,5,20.0,-0.6073,-1.006,-3.04,0.99,-1.01,4.03,4,-5.04,2.0,4,1,0
S4,2025,15,13.33,-0.7439,-1.0093,-11.16,0.99,-1.01,10.15,7,5.34,-16.5,13,2,0
S4,2026,4,25.0,4.1127,-1.0118,16.45,19.49,-1.02,1.02,2,16.45,0.0,3,0,1
S5,2024,14,14.29,-0.1489,-1.0055,-2.08,4.99,-1.01,6.04,7,-2.08,0.0,12,0,2
S5,2025,44,11.36,-0.3275,-1.0089,-14.41,4.99,-1.01,24.28,22,-14.41,0.0,39,0,5
S5,2026,18,44.44,1.6564,-1.0056,29.82,4.99,-1.02,7.07,7,29.82,0.0,10,0,8
