stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r
S1,LTCUSDT,1,2025-01-05T23:00:00+00:00,2025-01-06T01:20:00+00:00,2025,116.01,113.79171096,142.62946854,2.21828904,12.0,-1.015689,-1.015689,0.0,SL,29,2.33,0.0496
S2,LTCUSDT,-1,2025-01-07T03:00:00+00:00,2025-01-07T15:05:00+00:00,2025,113.15,115.05815934,107.42552197,1.90815934,3.0,2.982211,2.982211,0.0,TP,146,12.08,3.5794
S5,AVAXUSDT,-1,2025-01-07T20:00:00+00:00,2025-01-13T11:55:00+00:00,2025,39.86,41.15683969,33.37580156,1.29683969,5.0,4.990779,4.990779,0.0,TP,1632,135.92,5.0045
S2,AVAXUSDT,-1,2025-01-08T17:00:00+00:00,2025-01-13T09:30:00+00:00,2025,37.39,38.44390278,34.22829167,1.05390278,3.0,2.989357,2.989357,0.0,TP,1351,112.5,3.0838
S5,AVAXUSDT,-1,2025-01-13T12:00:00+00:00,2025-01-13T15:05:00+00:00,2025,33.39,34.50369179,27.82154103,1.11369179,5.0,-1.008994,-1.008994,0.0,SL,38,3.08,0.5387
S5,LTCUSDT,-1,2025-01-13T12:00:00+00:00,2025-01-13T14:55:00+00:00,2025,94.0,96.72571415,80.37142927,2.72571415,5.0,-1.010346,-1.010346,0.0,SL,36,2.92,0.5246
S1,AVAXUSDT,1,2025-01-15T14:00:00+00:00,2025-01-19T08:20:00+00:00,2025,39.04,37.88388091,52.91342906,1.15611909,12.0,-1.01013,-1.01013,0.0,SL,1085,90.33,2.4046
S1,LTCUSDT,1,2025-01-15T23:00:00+00:00,2025-01-27T07:15:00+00:00,2025,113.68,110.1947567,155.5029196,3.4852433,12.0,-1.009785,-1.009785,0.0,SL,3268,272.25,7.9019
S2,AVAXUSDT,-1,2025-01-16T14:00:00+00:00,2025-01-17T01:35:00+00:00,2025,39.61,40.55281829,36.78154512,0.94281829,3.0,-1.012604,-1.012604,0.0,SL,140,11.58,1.1773
S1,LTCUSDT,1,2025-01-16T16:00:00+00:00,2025-01-19T05:10:00+00:00,2025,126.61,119.80781906,208.23617124,6.80218094,12.0,-1.005584,-1.005584,0.0,SL,735,61.17,2.1478
S1,LTCUSDT,1,2025-01-17T04:00:00+00:00,2025-01-18T05:40:00+00:00,2025,133.81,127.04383862,215.00393651,6.76616138,12.0,-1.005933,-1.005933,0.0,SL,309,25.67,1.0952
S2,AVAXUSDT,-1,2025-01-18T06:00:00+00:00,2025-01-19T01:45:00+00:00,2025,39.44,40.33166687,36.76499938,0.89166687,3.0,-1.01327,-1.01327,0.0,SL,238,19.75,1.2785
