stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r,sim_active,m1_daily_cap,balance_before,risk_pct,dollar_risk,dollar_pnl,balance_after
S1,LTCUSDT,1,2025-01-05T23:00:00+00:00,2025-01-06T01:20:00+00:00,2025,116.01,113.79171096,142.62946854,2.21828904,12.0,-1.015689,-1.015689,0.0,SL,29,2.33,0.0496,True,False,10000.0,0.4981,49.81,-50.59,9949.41
S2,LTCUSDT,-1,2025-01-07T03:00:00+00:00,2025-01-07T15:05:00+00:00,2025,113.15,115.05815934,107.42552197,1.90815934,3.0,2.982211,2.982211,0.0,TP,146,12.08,3.5794,True,False,9949.41,1.378,137.1,408.87,10358.28
S5,AVAXUSDT,-1,2025-01-07T20:00:00+00:00,2025-01-13T11:55:00+00:00,2025,39.86,41.15683969,33.37580156,1.29683969,5.0,4.990779,4.990779,0.0,TP,1632,135.92,5.0045,True,False,10358.28,0.5216,54.03,269.65,11054.62
S2,AVAXUSDT,-1,2025-01-08T17:00:00+00:00,2025-01-13T09:30:00+00:00,2025,37.39,38.44390278,34.22829167,1.05390278,3.0,2.989357,2.989357,0.0,TP,1351,112.5,3.0838,True,False,10358.28,1.378,142.74,426.69,10784.97
S5,AVAXUSDT,-1,2025-01-13T12:00:00+00:00,2025-01-13T15:05:00+00:00,2025,33.39,34.50369179,27.82154103,1.11369179,5.0,-1.008994,-1.008994,0.0,SL,38,3.08,0.5387,True,False,11054.62,0.5216,57.66,-58.18,10938.18
S5,LTCUSDT,-1,2025-01-13T12:00:00+00:00,2025-01-13T14:55:00+00:00,2025,94.0,96.72571415,80.37142927,2.72571415,5.0,-1.010346,-1.010346,0.0,SL,36,2.92,0.5246,True,False,11054.62,0.5216,57.66,-58.26,10996.36
S1,AVAXUSDT,1,2025-01-15T14:00:00+00:00,2025-01-19T08:20:00+00:00,2025,39.04,37.88388091,52.91342906,1.15611909,12.0,-1.01013,-1.01013,0.0,SL,1085,90.33,2.4046,True,False,10938.18,0.4981,54.48,-55.03,10415.39
S1,LTCUSDT,1,2025-01-15T23:00:00+00:00,2025-01-27T07:15:00+00:00,2025,113.68,110.1947567,155.5029196,3.4852433,12.0,-1.009785,-1.009785,0.0,SL,3268,272.25,7.9019,True,False,10938.18,0.4981,54.48,-55.02,9608.55
S2,AVAXUSDT,-1,2025-01-16T14:00:00+00:00,2025-01-17T01:35:00+00:00,2025,39.61,40.55281829,36.78154512,0.94281829,3.0,-1.012604,-1.012604,0.0,SL,140,11.58,1.1773,True,False,10938.18,1.378,150.73,-152.63,10785.55
S1,LTCUSDT,1,2025-01-16T16:00:00+00:00,2025-01-19T05:10:00+00:00,2025,126.61,119.80781906,208.23617124,6.80218094,12.0,-1.005584,-1.005584,0.0,SL,735,61.17,2.1478,True,False,10938.18,0.4981,54.48,-54.79,10470.42
