sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
BTCUSDT,388,21.91,0.7716,-1.0171,299.38,19.48,-1.76,30.7,25,340.88,-41.5,303,10,75
DOGEUSDT,305,15.74,0.4046,-1.0087,123.41,19.49,-1.16,22.15,23,117.41,6.0,257,3,45
ETHUSDT,314,22.61,0.6908,-1.0122,216.91,19.48,-1.67,36.97,15,237.91,-21.0,243,10,61
LINKUSDT,322,17.39,0.3147,-1.0092,101.34,19.49,-1.37,32.71,28,81.34,20.0,266,10,46
SOLUSDT,335,23.28,0.6637,-1.0081,222.35,19.49,-1.4,32.69,22,270.35,-48.0,257,17,61
XRPUSDT,304,16.45,0.2735,-1.0107,83.15,19.49,-1.57,43.39,24,85.65,-2.5,254,9,41
