stream,year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,2022,135,4.44,-0.4342,-1.0105,-58.62,11.99,-1.03,70.27,63,-58.62,0.0,129,0,6
S1,2023,185,17.84,1.3037,-1.0115,241.18,11.99,-1.04,46.01,32,241.18,0.0,152,0,33
S1,2024,226,15.93,1.0567,-1.0119,238.82,11.99,-1.04,57.21,46,238.82,0.0,190,0,36
S1,2025,189,9.52,0.2232,-1.0122,42.18,11.99,-1.04,58.25,58,42.18,0.0,171,0,18
S1,2026,43,2.33,-0.7115,-1.0131,-30.6,11.98,-1.03,38.51,38,-30.6,0.0,42,0,1
S2,2022,76,27.63,0.5697,-0.6793,43.29,4.24,-1.47,15.11,20,43.29,0.0,55,0,21
S2,2023,28,25.0,0.4459,-0.6913,12.49,4.24,-1.46,4.79,6,12.49,0.0,21,0,7
S2,2024,61,21.31,0.1608,-0.8035,9.81,4.24,-1.76,21.36,25,9.81,0.0,48,0,13
S2,2025,110,32.73,0.836,-0.6312,91.96,4.24,-1.36,15.39,19,91.96,0.0,74,0,36
S2,2026,10,30.0,0.6906,-0.7407,6.91,4.24,-1.15,4.4,6,6.91,0.0,7,0,3
S3,2022,159,20.13,0.196,-1.0097,31.17,4.99,-1.05,25.46,17,31.17,0.0,127,0,32
S3,2023,97,18.56,0.098,-1.013,9.51,4.99,-1.03,35.5,35,9.51,0.0,79,0,18
S3,2024,131,16.03,-0.0512,-1.0102,-6.71,4.99,-1.03,18.43,13,-6.71,0.0,110,0,21
S3,2025,206,22.82,0.3557,-1.0096,73.28,5.0,-1.04,66.1,35,73.28,0.0,159,0,47
S3,2026,38,39.47,1.3531,-1.0096,51.42,4.99,-1.03,11.16,11,51.42,0.0,23,0,15
S4,2022,41,17.07,-0.2206,-1.011,-9.04,19.48,-1.04,21.34,17,19.96,-29.0,34,6,1
S4,2023,91,27.47,1.7666,-1.0122,160.76,19.49,-1.05,14.28,13,173.76,-13.0,66,14,11
S4,2024,90,32.22,1.0678,-1.012,96.1,19.49,-1.03,21.67,13,134.1,-38.0,61,22,7
S4,2025,48,37.5,0.8899,-1.0095,42.72,19.49,-1.04,17.45,7,53.72,-11.0,30,15,3
S4,2026,4,50.0,-0.0175,-0.0188,-0.07,0.98,-1.02,2.03,2,-4.07,4.0,2,2,0
