year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2022,411,16.06,0.0166,-1.0092,6.8,19.48,-1.47,79.3,53,35.8,-29.0,345,6,60
2023,401,20.7,1.0572,-1.0115,423.93,19.49,-1.46,63.1,35,436.93,-13.0,318,14,69
2024,508,19.49,0.6654,-1.0106,338.03,19.49,-1.76,49.46,31,376.03,-38.0,409,22,77
2025,553,21.52,0.4523,-1.0094,250.14,19.49,-1.36,51.31,42,261.14,-11.0,434,15,104
2026,95,22.11,0.2911,-1.012,27.66,11.98,-1.15,26.14,26,23.66,4.0,74,2,19
