year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2022,276,21.74,0.237,-1.0083,65.42,19.48,-1.47,40.93,27,94.42,-29.0,216,6,54
2023,216,23.15,0.8461,-1.0113,182.75,19.49,-1.46,33.46,21,195.75,-13.0,166,14,36
2024,282,22.34,0.3518,-1.009,99.2,19.49,-1.76,23.3,17,137.2,-38.0,219,22,41
2025,364,27.75,0.5713,-1.0067,207.96,19.49,-1.36,50.53,36,218.96,-11.0,263,15,86
2026,52,38.46,1.1202,-0.9602,58.25,4.99,-1.15,11.96,12,54.25,4.0,32,2,18
