stream,reason,n,pct_of_stream,avg_r,total_r
S2,SL,205,71.93,-0.851,-174.45
S2,TP,80,28.07,4.2363,338.91
S3,SL,498,78.92,-1.0129,-504.42
S3,TP,133,21.08,4.9856,663.09
S4,BE,59,21.53,0.9847,58.1
S4,SL,193,70.44,-1.0164,-196.16
S4,TP,22,8.03,19.4786,428.53
