sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
BTCUSDT,242,24.79,0.5108,-1.0149,123.61,19.48,-1.76,17.94,12,165.11,-41.5,182,10,50
DOGEUSDT,166,20.48,0.4933,-1.007,81.89,19.49,-1.16,13.82,15,75.89,6.0,132,3,31
ETHUSDT,192,28.65,0.6921,-1.0092,132.89,19.48,-1.67,16.97,11,153.89,-21.0,137,10,45
LINKUSDT,196,21.94,0.305,-1.008,59.78,19.49,-1.37,23.58,17,39.78,20.0,153,10,33
SOLUSDT,203,29.56,0.6,-1.0054,121.81,19.49,-1.4,15.56,16,169.81,-48.0,143,17,43
XRPUSDT,191,21.99,0.4901,-1.0087,93.62,19.49,-1.57,21.46,18,96.12,-2.5,149,9,33
