stream,mfe_bucket,n_trades,win_pct,avg_r,total_r,tp_hits,be_hits,sl_hits
S1,0-1R,90,0.0,-1.0107,-90.96,0,0,90
S1,1-2R,40,0.0,-1.0108,-40.43,0,0,40
S1,2-3.5R,17,0.0,-1.0116,-17.2,0,0,17
S1,3.5-6.5R,16,0.0,-1.0102,-16.16,0,0,16
S1,6.5-10R,8,0.0,-1.0109,-8.09,0,0,8
S1,>10R,15,86.67,10.2562,153.84,13,0,2
S2,0-1R,156,0.0,-1.0133,-158.08,0,0,156
S2,1-2R,50,0.0,-1.0135,-50.68,0,0,50
S2,2-3.5R,147,79.59,2.1692,318.87,117,0,30
S2,3.5-6.5R,23,100.0,2.981,68.56,23,0,0
S2,6.5-10R,1,100.0,2.9803,2.98,1,0,0
S2,<=0R,5,0.0,-1.0207,-5.1,0,0,5
S2,>10R,1,100.0,2.9557,2.96,1,0,0
S3,0-1R,19,0.0,-0.869,-16.51,0,0,19
S3,1-2R,7,0.0,-0.9241,-6.47,0,0,7
S3,2-3.5R,3,0.0,-0.8305,-2.49,0,0,3
S3,3.5-6.5R,17,82.35,3.2817,55.79,14,0,3
S3,>10R,1,100.0,4.2321,4.23,1,0,0
S4,0-1R,42,0.0,-1.0133,-42.56,0,0,42
S4,1-2R,7,0.0,-1.0134,-7.09,0,0,7
S4,2-3.5R,6,0.0,-1.014,-6.08,0,0,6
S4,3.5-6.5R,7,100.0,0.9896,6.93,0,7,0
S4,6.5-10R,3,100.0,0.9887,2.97,0,3,0
S4,<=0R,2,0.0,-1.009,-2.02,0,0,2
S4,>10R,3,100.0,19.491,58.47,3,0,0
S5,0-1R,65,0.0,-1.0099,-65.64,0,0,65
S5,1-2R,25,0.0,-1.0098,-25.24,0,0,25
S5,2-3.5R,5,0.0,-1.0107,-5.05,0,0,5
S5,3.5-6.5R,29,86.21,4.1619,120.7,25,0,4
S5,6.5-10R,1,100.0,4.9815,4.98,1,0,0
