chunk,n_trades,total_r,win_pct,max_dd_r,avg_hold_5m_bars
2022-01,4,-0.0369,50.0,2.0211,182.5
2022-02,5,0.969,60.0,1.0044,315.2
2022-03,5,-1.043,40.0,2.038,375.4
2022-04,4,-2.035,25.0,1.0276,373.2
2022-05,4,1.9697,75.0,1.0096,213.2
2022-06,5,-1.0386,40.0,2.0289,174.4
2022-07,6,-6.05,0.0,5.0417,351.8
2022-08,8,3.9132,75.0,1.0273,341.9
2022-09,8,-2.0822,37.5,4.0541,232.1
2022-10,6,-0.0473,50.0,3.0225,393.5
2022-11,5,0.9664,60.0,1.0161,266.8
2022-12,5,-3.0713,20.0,3.0485,161.2
2023-01,7,2.926,71.43,1.0327,328.0
2023-02,6,-2.0695,33.33,2.0441,190.0
2023-03,7,2.9257,71.43,1.013,156.4
2023-04,6,1.93,66.67,1.0145,210.5
2023-05,7,-1.0907,42.86,1.0413,294.3
2023-06,7,0.9399,57.14,1.0116,222.3
2023-07,5,-1.0461,40.0,2.0108,215.4
2023-08,5,-3.0542,20.0,3.0325,218.8
2023-09,7,-3.1107,28.57,3.0835,189.7
2023-10,5,-1.0745,40.0,2.0617,184.2
2023-11,5,-3.0426,20.0,3.0262,663.2
2023-12,6,-2.0734,33.33,3.0286,260.7
2024-01,9,2.887,66.67,2.0282,230.3
2024-02,6,-2.0797,33.33,3.0674,241.8
2024-03,6,-0.0425,50.0,1.0096,202.7
2024-04,5,-5.053,0.0,4.0417,257.8
2024-05,4,-0.0583,50.0,1.0153,469.8
2024-06,5,0.9279,60.0,1.0398,508.2
2024-07,4,-0.0421,50.0,1.0086,101.5
2024-08,6,-0.0643,50.0,3.0396,410.2
2024-09,4,1.9462,75.0,1.0142,244.8
2024-10,5,2.9255,80.0,1.0139,396.6
2024-11,5,-3.0468,20.0,4.0305,113.0
2024-12,6,-2.0327,33.33,3.0285,236.5
2025-01,7,-3.0535,28.57,3.0369,115.4
2025-02,4,-2.03,25.0,2.0149,176.5
2025-03,4,-0.0333,50.0,1.0108,381.5
2025-04,7,0.9315,57.14,2.0225,396.3
2025-05,8,-0.0794,50.0,3.0312,681.9
2025-06,7,-5.0857,14.29,5.0631,106.1
2025-07,3,0.9774,66.67,1.007,74.0
2025-08,7,-1.0623,42.86,1.0455,419.3
2025-09,4,1.9504,75.0,1.0158,529.5
2025-10,6,-4.0671,16.67,3.0536,393.5
2025-11,4,-0.033,50.0,1.0072,173.2
2025-12,8,-0.0896,50.0,2.0201,306.9
2026-01,5,0.9332,60.0,1.0165,223.0
2026-02,6,-2.0518,33.33,4.0376,407.3
