ts,open,high,low,close,bb_upper,bb_lower,bb_mid,bb_width,atr,atr_ma,atr_ratio,er,structure,vol,regime,structure_num,vol_num
2022-01-01 00:00:00+00:00,0.8294,0.853,0.8293,0.841,,,,,,,,,,,,,
2022-01-01 04:00:00+00:00,0.8409,0.8466,0.8343,0.841,,,,,,,,,,,,,
2022-01-01 08:00:00+00:00,0.841,0.8444,0.8345,0.8387,,,,,,,,,,,,,
2022-01-01 12:00:00+00:00,0.8389,0.8455,0.8385,0.8421,,,,,,,,,,,,,
2022-01-01 16:00:00+00:00,0.8422,0.8558,0.8421,0.852,,,,,,,,,,,,,
2022-01-01 20:00:00+00:00,0.8519,0.8539,0.844,0.8507,,,,,,,,,,,,,
2022-01-02 00:00:00+00:00,0.8507,0.851,0.8405,0.8435,,,,,,,,,,,,,
2022-01-02 04:00:00+00:00,0.8436,0.8466,0.8369,0.8423,,,,,,,,,,,,,
2022-01-02 08:00:00+00:00,0.8423,0.8494,0.8392,0.8452,,,,,,,,,,,,,
2022-01-02 12:00:00+00:00,0.8452,0.8675,0.8416,0.8558,,,,,,,,,,,,,
2022-01-02 16:00:00+00:00,0.8558,0.8644,0.845,0.8511,,,,,,,,,,,,,
2022-01-02 20:00:00+00:00,0.8511,0.8611,0.8495,0.8583,,,,,,,,,,,,,
2022-01-03 00:00:00+00:00,0.8583,0.8588,0.8436,0.8452,,,,,,,,,,,,,
2022-01-03 04:00:00+00:00,0.8453,0.8481,0.8408,0.8426,,,,,0.01330714285714286,,,,,,,,
2022-01-03 08:00:00+00:00,0.8427,0.8467,0.833,0.8445,,,,,0.013335204081632659,,,,,,,,
2022-01-03 12:00:00+00:00,0.8445,0.8465,0.8369,0.8382,,,,,0.013068403790087472,,,,,,,,
2022-01-03 16:00:00+00:00,0.8382,0.8394,0.8246,0.8328,,,,,0.013192089233652655,,,,,,,,
2022-01-03 20:00:00+00:00,0.8327,0.8379,0.8212,0.8324,,,,,0.013442654288391748,,,,,,,,
2022-01-04 00:00:00+00:00,0.8323,0.8343,0.823,0.8274,,,,,0.01328960755350663,,,,,,,,
2022-01-04 04:00:00+00:00,0.8274,0.8303,0.82,0.828,0.8590666125540235,0.8262133874459764,0.84264,3.898844715186452,0.013076064156827591,,,,,,,,
2022-01-04 08:00:00+00:00,0.8279,0.8373,0.8264,0.8359,0.8590619631528046,0.8257080368471953,0.8423849999999999,3.959463464521483,0.01292063100276848,,,0.05431309904153361,BALANCED,,,0.0,
2022-01-04 12:00:00+00:00,0.8358,0.846,0.8304,0.8354,0.8590514421044657,0.8251585578955345,0.8421050000000001,4.024781257554724,0.013112014502570728,,,0.059322033898304614,BALANCED,,,0.0,
2022-01-04 16:00:00+00:00,0.8353,0.8367,0.8144,0.8251,0.8598870556818573,0.8229629443181424,0.8414249999999999,4.388283134410658,0.013768299180958532,,,0.13281250000000078,BALANCED,,,0.0,
2022-01-04 20:00:00+00:00,0.8251,0.8319,0.8225,0.8228,0.8606196031706977,0.8203003968293022,0.84046,4.797278435784632,0.013456277810890064,,,0.19052319842053322,BALANCED,,,0.0,
2022-01-05 00:00:00+00:00,0.8228,0.835,0.8211,0.8307,0.8592517343740105,0.8195382656259895,0.839395,4.7312014901233574,0.013487972252969339,,,0.21450151057401834,BALANCED,,,0.0,
2022-01-05 04:00:00+00:00,0.8307,0.8347,0.8282,0.8296,0.857922277702045,0.818757722297955,0.83834,4.6716791998580565,0.01298883137775724,,,0.21291624621594388,BALANCED,,,0.0,
2022-01-05 08:00:00+00:00,0.8295,0.8375,0.8241,0.8259,0.8576092828656507,0.817310717134349,0.8374599999999999,4.811998869355164,0.013018200565060293,0.013247385189586878,0.9826996330787803,0.18410041841004265,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-05 12:00:00+00:00,0.8259,0.831,0.8206,0.8279,0.857173149536966,0.8163068504630341,0.83674,4.883990137190993,0.012831186238984554,0.013219638592880056,0.9706155088003149,0.1493775933609968,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-05 16:00:00+00:00,0.8279,0.8302,0.79,0.7978,0.8605233248364337,0.8082166751635664,0.8343700000000001,6.268999325583044,0.014786101507628515,0.013317542525051835,1.110272520610627,0.3834951456310678,IMBALANCED,NORMAL,IMBALANCED_NORMAL,1.0,1.0
2022-01-05 20:00:00+00:00,0.7978,0.8021,0.7074,0.7718,0.866289086367183,0.7940509136328171,0.8301700000000001,8.701612047456056,0.02049423711422648,0.013739701030297402,1.4916072095771704,0.6043165467625901,IMBALANCED,NORMAL,IMBALANCED_NORMAL,1.0,1.0
2022-01-06 00:00:00+00:00,0.7719,0.7783,0.7488,0.7489,0.8743904125261489,0.7757295874738511,0.82506,11.95801821107529,0.02113750589178173,0.014150690189268754,1.49374381101294,0.6501272264631045,IMBALANCED,NORMAL,IMBALANCED_NORMAL,1.0,1.0
2022-01-06 04:00:00+00:00,0.749,0.7658,0.7464,0.7617,0.8742863816769124,0.7661736183230874,0.8202299999999999,13.180786286020387,0.021013398328083042,0.014511885354469506,1.4480129779698914,0.593366093366093,IMBALANCED,NORMAL,IMBALANCED_NORMAL,1.0,1.0
2022-01-06 08:00:00+00:00,0.7617,0.7624,0.7371,0.7486,0.8764757562376435,0.7543242437623565,0.8154,14.98056321747449,0.021319584161791395,0.014852270294835601,1.4354427800310499,0.593366093366093,IMBALANCED,NORMAL,IMBALANCED_NORMAL,1.0,1.0
2022-01-06 12:00:00+00:00,0.7486,0.7653,0.7419,0.7618,0.8753255032028988,0.7473944967971011,0.81136,15.767477618541422,0.021468185293092006,0.015167313866181142,1.4154243449105408,0.4659746251441752,IMBALANCED,NORMAL,IMBALANCED_NORMAL,1.0,1.0
2022-01-06 16:00:00+00:00,0.7618,0.7816,0.7594,0.7804,0.871578575269769,0.7447314247302309,0.808155,15.695893800018327,0.021520457772156863,0.015456093134634585,1.392360772201419,0.337190952130458,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-06 20:00:00+00:00,0.7804,0.7903,0.7759,0.7787,0.8682682429617442,0.7420917570382558,0.80518,15.67059364657448,0.021011853645574226,0.015697647939458048,1.3385351567707313,0.3207547169811323,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-07 00:00:00+00:00,0.7788,0.7805,0.7377,0.7447,0.8677190325943999,0.7338309674056002,0.800775,16.719810831856602,0.022568149813747492,0.015983918850886774,1.4119284528584448,0.4114899579635685,IMBALANCED,NORMAL,IMBALANCED_NORMAL,1.0,1.0
2022-01-07 04:00:00+00:00,0.7448,0.7543,0.7281,0.7519,0.8652658813706726,0.7282341186293275,0.7967500000000001,17.198840632738637,0.0228275676841941,0.016257664804219068,1.4041111044600982,0.36441828881847016,IMBALANCED,NORMAL,IMBALANCED_NORMAL,1.0,1.0
2022-01-07 08:00:00+00:00,0.7521,0.7772,0.7492,0.7577,0.862279064508621,0.7242509354913792,0.7932650000000001,17.400002397337815,0.023197027135323095,0.016524563355415377,1.403790625893969,0.3143888137122238,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-07 12:00:00+00:00,0.7577,0.7679,0.7334,0.748,0.8590319054781713,0.7194980945218287,0.789265,17.678955858468658,0.024004382339942874,0.016801593688175655,1.4286967525489132,0.3466204506065856,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-07 16:00:00+00:00,0.7479,0.7707,0.743,0.7647,0.8528052973167787,0.7186047026832213,0.785705,17.08027753846003,0.024268355029946957,0.017068263736096056,1.4218408741027424,0.29716193656093454,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-07 20:00:00+00:00,0.7648,0.7784,0.7576,0.7634,0.845793255589238,0.7184167444107619,0.7821049999999999,16.28636962792415,0.02402061538495074,0.017307999999849666,1.3878331052206714,0.2995008319467555,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-08 00:00:00+00:00,0.7636,0.7751,0.7612,0.7682,0.8400281956289647,0.7184918043710354,0.7792600000000001,15.59638519337952,0.02329771428602569,0.0175076571427222,1.3307157031979215,0.24223073648360974,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-08 04:00:00+00:00,0.7683,0.7756,0.7667,0.7716,0.8341382102785255,0.7192617897214744,0.7767,14.790320658819514,0.022269306122738135,0.017661258722722718,1.2609127397067554,0.2169491525423729,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-08 08:00:00+00:00,0.7716,0.7768,0.7627,0.7644,0.825368161696843,0.721401838303157,0.773385,13.443022995492033,0.021685784256828267,0.017787025145663514,1.2191911845424737,0.28176795580110503,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-08 12:00:00+00:00,0.7645,0.7685,0.7521,0.7572,0.8152644186776066,0.7242655813223933,0.7697649999999999,11.821638728081078,0.021308228238483388,0.01789372826968836,1.1908210473151717,0.299917149958575,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-08 16:00:00+00:00,0.7572,0.7618,0.722,0.7299,0.8057774135527433,0.7241525864472567,0.764965,10.670400228178634,0.02262906907859172,0.018033002999361985,1.254869700814243,0.3622641509433961,IMBALANCED,NORMAL,IMBALANCED_NORMAL,1.0,1.0
2022-01-08 20:00:00+00:00,0.7299,0.7601,0.7258,0.745,0.7905603160709527,0.7310796839290474,0.76082,7.817963794577593,0.023462707001549454,0.018188137399424487,1.2900005364096199,0.29809421071556985,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-09 00:00:00+00:00,0.7451,0.7568,0.7407,0.7506,0.783149949372167,0.7337700506278331,0.75846,6.510547523183016,0.022936799358581637,0.01832004467606774,1.2520056454089854,0.1861198738170343,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-09 04:00:00+00:00,0.7506,0.7581,0.7479,0.7488,0.7815458329751667,0.7330741670248334,0.75731,6.400505202669085,0.022027027975825807,0.018420233413899038,1.1958061269302511,0.10026155187445512,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-09 08:00:00+00:00,0.7487,0.7529,0.74,0.7504,0.7815253624662135,0.7332446375337864,0.757385,6.37466083067754,0.021375097406123967,0.0184979929926418,1.155536031104922,0.007208073041806561,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-09 12:00:00+00:00,0.7504,0.7516,0.738,0.7428,0.7812997184215786,0.7315802815784214,0.75644,6.572819634492791,0.020819733305686546,0.018557524795540382,1.1219024915806552,0.09314933464760981,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-09 16:00:00+00:00,0.7427,0.7657,0.7417,0.7642,0.7820256928949822,0.7324143071050178,0.75722,6.551779639994254,0.021046895212423224,0.018619759055962453,1.1303527155838007,0.07386363636363613,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-09 20:00:00+00:00,0.7642,0.7665,0.7505,0.7529,0.7815553853884514,0.7319946146115486,0.756775,6.548943976334154,0.02068640269725014,0.018670164998432888,1.107992494923665,0.04252269469660785,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-10 00:00:00+00:00,0.7528,0.7577,0.747,0.7533,0.7777249411566177,0.7331150588433825,0.7554200000000001,5.905308611532029,0.019973088218875133,0.018701186979871987,1.0680117919986623,0.14181057038199907,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-10 04:00:00+00:00,0.7533,0.7585,0.7503,0.7516,0.7736785947750578,0.7344514052249421,0.754065,5.202096576570418,0.019132153346098336,0.018711209453505157,1.022496883145858,0.14181057038199857,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-10 08:00:00+00:00,0.7517,0.7525,0.7391,0.7414,0.7738780879966072,0.7339219120033929,0.7539,5.2999304938605025,0.018722713821377024,0.018711470916411337,1.0006008562884185,0.019725044829647823,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-10 12:00:00+00:00,0.7414,0.7429,0.6923,0.7237,0.7764228142933542,0.7285571857066457,0.75249,6.3609654064118475,0.020999662834135808,0.018762319625694104,1.1192466205179539,0.1586051743532059,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-10 16:00:00+00:00,0.7237,0.7443,0.7131,0.7223,0.7778697034974635,0.7235702965025366,0.75072,7.232977274473434,0.02172825834598325,0.018826796554396043,1.1541134086834182,0.20415224913494814,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-10 20:00:00+00:00,0.7223,0.7398,0.7188,0.7393,0.7778703783733374,0.7226996216266628,0.7502850000000001,7.35330664303226,0.021676239892698734,0.01888742300840248,1.1476547056237152,0.04814609850581103,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-11 00:00:00+00:00,0.7394,0.7475,0.7321,0.7462,0.7761799478001018,0.7225400521998983,0.74936,7.158094320513977,0.02122793704322026,0.018936183717461186,1.1210250893185953,0.10825043885313108,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-11 04:00:00+00:00,0.7462,0.7557,0.7432,0.7459,0.77454679387533,0.7224232061246699,0.748485,6.963878735132976,0.02060451296870453,0.018970231253200843,1.0861498045907025,0.10300176574455562,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-11 08:00:00+00:00,0.746,0.7506,0.7303,0.7393,0.7717382104614927,0.7223417895385071,0.7470399999999999,6.6122859449273905,0.020582762042368502,0.0190024818689842,1.0831617777235527,0.16831683168316888,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-11 12:00:00+00:00,0.7393,0.7472,0.7305,0.7407,0.7675824149687145,0.7234075850312855,0.745495,5.925570250293958,0.020305421896485036,0.019142447449771043,1.0607536967133167,0.18208603417796096,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-11 16:00:00+00:00,0.7408,0.7688,0.7401,0.7626,0.7671962344762795,0.7236137655237205,0.745405,5.846817361375227,0.02090503461816468,0.01929384406050168,1.0835080118099132,0.009761388286334202,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2022-01-11 20:00:00+00:00,0.7626,0.7772,0.7622,0.77,0.7698436953423963,0.7222463046576039,0.7460450000000001,6.379962426501404,0.02048324643115292,0.01944214091332299,1.0535489132843645,0.069339111592633,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
