stream,year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,2022,112,25.0,-0.1194,-1.0095,-13.37,11.99,-1.03,30.52,12,-48.37,35.0,84,24,4
S1,2023,164,32.32,0.9719,-1.0101,159.39,11.99,-1.04,37.78,16,262.39,-103.0,111,33,20
S1,2024,200,31.0,1.0354,-1.0102,207.08,11.99,-1.04,28.99,20,200.08,7.0,138,36,26
S1,2025,159,25.16,0.3176,-1.0107,50.49,11.99,-1.05,31.52,18,46.49,4.0,119,28,12
S1,2026,36,30.56,0.2065,-1.0121,7.43,11.98,-1.03,18.4,12,-10.57,18.0,25,9,2
S2,2022,428,32.48,0.284,-1.0103,121.57,3.0,-1.06,38.9,28,121.57,0.0,289,0,139
S2,2023,351,24.79,-0.0321,-1.0159,-11.25,2.99,-1.1,55.16,35,-11.25,0.0,264,0,87
S2,2024,494,27.13,0.0666,-1.0146,32.92,3.0,-1.05,75.73,35,32.92,0.0,360,0,134
S2,2025,580,31.55,0.244,-1.012,141.52,2.99,-1.06,80.63,30,141.52,0.0,397,0,183
S2,2026,62,30.65,0.2057,-1.0154,12.75,2.99,-1.04,11.28,11,12.75,0.0,43,0,19
S3,2022,56,30.36,0.6812,-0.6648,38.15,4.24,-1.47,13.27,17,38.15,0.0,39,0,17
S3,2023,25,28.0,0.5829,-0.6993,14.57,4.24,-1.46,4.19,5,14.57,0.0,18,0,7
S3,2024,48,25.0,0.3125,-0.8243,15.0,4.24,-1.79,15.35,17,15.0,0.0,36,0,12
S3,2025,88,31.82,0.7656,-0.6646,67.38,4.24,-1.36,12.85,15,67.38,0.0,60,0,28
S3,2026,8,37.5,1.044,-0.717,8.35,4.24,-1.15,2.92,4,8.35,0.0,5,0,3
S4,2022,41,17.07,-0.2201,-1.0108,-9.02,19.48,-1.04,21.32,16,19.98,-29.0,34,6,1
S4,2023,93,27.96,1.7273,-1.0122,160.64,19.49,-1.05,15.22,13,171.64,-11.0,67,15,11
S4,2024,88,31.82,0.8823,-1.012,77.65,19.49,-1.03,21.67,13,115.65,-38.0,60,22,6
S4,2025,49,36.73,0.8506,-1.0096,41.68,19.49,-1.04,18.49,8,52.68,-11.0,31,15,3
S4,2026,7,28.57,-0.4477,-1.0172,-3.13,0.98,-1.02,5.09,5,-7.13,4.0,5,2,0
S5,2022,151,20.53,0.2205,-1.0094,33.3,4.99,-1.05,26.26,26,33.3,0.0,120,0,31
S5,2023,99,19.19,0.1357,-1.013,13.43,4.99,-1.03,35.5,35,13.43,0.0,80,0,19
S5,2024,131,17.56,0.04,-1.0098,5.24,4.99,-1.03,17.33,13,5.24,0.0,108,0,23
S5,2025,201,22.89,0.3603,-1.0096,72.43,5.0,-1.04,63.01,30,72.43,0.0,155,0,46
S5,2026,41,36.59,1.1801,-1.0097,48.38,4.99,-1.03,14.22,14,48.38,0.0,26,0,15
