stream,n_trades,baseline_total_r,managed_total_r,saved_r,saved_per_trade,n_improved,n_worse,n_unchanged,avg_save_improved,avg_hurt_worse,baseline_win_pct,managed_win_pct
S1,671,450.03,411.03,-39.0,-0.0581,107,23,541,2.0,-11.0,12.97,28.91
S2,1915,297.51,297.51,0.0,0.0,0,0,1915,0.0,0.0,29.35,29.35
S3,225,143.45,143.45,0.0,0.0,0,0,225,0.0,0.0,29.78,29.78
S4,278,352.81,267.81,-85.0,-0.3058,50,10,218,2.0,-18.5,11.15,29.14
S5,623,172.79,172.79,0.0,0.0,0,0,623,0.0,0.0,21.51,21.51
