exit_ts_utc,symbol,tp_r,r,equity_before,risk_usd,pnl_usd,withdrawal_usd,cumulative_withdrawn_usd,return_pct_trade,equity_after,equity_peak,drawdown_usd,drawdown_pct,day,week_start,month
2022-01-05 01:20:00+00:00,XRPUSDT,8.0,0.676866355140191,10000.0,150.0,101.52995327102865,0.0,0.0,0.010152995327102865,10101.529953271029,10101.529953271029,0.0,0.0,2022-01-05,2022-01-04,2022-01
2022-01-05 04:45:00+00:00,SOLUSDT,8.0,0.6354346153846046,10101.529953271029,151.52294929906543,96.28292700979257,0.0,0.0,0.009531519230769067,10197.81288028082,10197.81288028082,0.0,0.0,2022-01-05,2022-01-04,2022-01
2022-01-05 11:50:00+00:00,BTCUSDT,8.0,0.664547176670798,10197.81288028082,152.9671932042123,101.65391636711576,0.0,0.0,0.00996820765006197,10299.466796647936,10299.466796647936,0.0,0.0,2022-01-05,2022-01-04,2022-01
2022-01-06 00:00:00+00:00,BTCUSDT,8.0,-1.024648395284251,10299.466796647936,154.49200194971903,-158.29998188203095,0.0,0.0,-0.015369725929263762,10141.166814765904,10299.466796647936,158.29998188203172,-0.015369725929263889,2022-01-06,2022-01-04,2022-01
2022-01-06 00:00:00+00:00,ETHUSDT,8.0,-1.0705316602316604,10141.166814765904,152.11750222148856,-162.84660220346345,0.0,0.0,-0.01605797490347491,9978.320212562441,10299.466796647936,321.1465840854944,-0.03118089415949321,2022-01-06,2022-01-04,2022-01
2022-01-06 00:00:00+00:00,SOLUSDT,8.0,-1.039022131147541,9978.320212562441,149.6748031884366,-155.51543298793817,0.0,0.0,-0.015585331967213114,9822.804779574502,10299.466796647936,476.66201707343316,-0.046280261540196155,2022-01-06,2022-01-04,2022-01
2022-01-06 00:00:00+00:00,XRPUSDT,8.0,-1.0306846153846156,9822.804779574502,147.34207169361753,-151.86320649350864,0.0,0.0,-0.015460269230769234,9670.941573080994,10299.466796647936,628.5252235669413,-0.06102502546748356,2022-01-06,2022-01-04,2022-01
2022-01-08 20:00:00+00:00,SOLUSDT,8.0,-1.0089164948453608,9670.941573080994,145.0641235962149,-146.35758710650734,0.0,0.0,-0.015133747422680411,9524.583985974486,10299.466796647936,774.8828106734491,-0.07523523556827649,2022-01-08,2022-01-04,2022-01
2022-01-08 20:00:00+00:00,XRPUSDT,8.0,-1.0445411764705883,9524.583985974486,142.8687597896173,-149.23230243154072,0.0,0.0,-0.015668117647058822,9375.351683542945,10299.466796647936,924.1151131049901,-0.08972455869324736,2022-01-08,2022-01-04,2022-01
2022-01-09 19:35:00+00:00,SOLUSDT,8.0,0.6927659793814414,9375.351683542945,140.63027525314416,97.42387036642609,0.0,0.0,0.010391489690721619,9472.775553909372,10299.466796647936,826.6912427385632,-0.08026544082919107,2022-01-09,2022-01-04,2022-01
2022-01-10 14:05:00+00:00,XRPUSDT,8.0,-1.0098082969432314,9472.775553909372,142.09163330864058,-143.48531024128047,0.0,0.0,-0.01514712445414847,9329.290243668092,10299.466796647936,970.1765529798431,-0.09419677466173271,2022-01-10,2022-01-04,2022-01
2022-01-10 16:00:00+00:00,BTCUSDT,8.0,-1.0876513285533518,9329.290243668092,139.9393536550214,-152.20522391978136,0.0,0.0,-0.016314769928300277,9177.08501974831,10299.466796647936,1122.381776899625,-0.10897474588343892,2022-01-10,2022-01-04,2022-01
2022-01-11 04:50:00+00:00,XRPUSDT,8.0,0.6930856687898093,9177.08501974831,137.65627529622466,95.40759162679797,0.0,0.0,0.01039628503184714,9272.492611375108,10299.466796647936,1026.9741852728275,-0.09971139337106916,2022-01-11,2022-01-11,2022-01
2022-01-11 05:05:00+00:00,SOLUSDT,8.0,0.6891756097560975,9272.492611375108,139.0873891706266,95.85563624105022,0.0,0.0,0.010337634146341462,9368.348247616159,10299.466796647936,931.1185490317766,-0.09040453912961965,2022-01-11,2022-01-11,2022-01
2022-01-18 03:20:00+00:00,LINKUSDT,8.0,0.6671216589861684,9368.348247616159,140.52522371424237,93.74742037364783,0.0,0.0,0.010006824884792525,9462.095667989806,10299.466796647936,837.3711286581292,-0.0813023766366876,2022-01-18,2022-01-18,2022-01
2022-01-18 18:00:00+00:00,SOLUSDT,8.0,-1.0231893258426965,9462.095667989806,141.9314350198471,-145.22272931384384,0.0,0.0,-0.01534783988764045,9316.872938675962,10299.466796647936,982.5938579719732,-0.09540240066522354,2022-01-18,2022-01-18,2022-01
2022-01-18 20:05:00+00:00,ETHUSDT,8.0,0.6423417026526849,9316.872938675962,139.75309408013942,89.76924040241761,0.0,0.0,0.009635125539790271,9406.64217907838,10299.466796647936,892.8246175695549,-0.08668648923264,2022-01-18,2022-01-18,2022-01
2022-01-19 03:40:00+00:00,BTCUSDT,8.0,0.6602909134324552,9406.64217907838,141.0996326861757,93.16680535133887,0.0,0.0,0.009904363701486828,9499.80898442972,10299.466796647936,799.6578122182163,-0.07764070004851831,2022-01-19,2022-01-18,2022-01
2022-01-19 08:00:00+00:00,ETHUSDT,8.0,-1.0554731343283583,9499.80898442972,142.49713476644578,-150.40189746475102,0.0,0.0,-0.015832097014925377,9349.407086964968,10299.466796647936,950.0597096829679,-0.09224358196796889,2022-01-19,2022-01-18,2022-01
2022-01-19 12:15:00+00:00,BTCUSDT,8.0,5.409940624090774,9349.407086964968,140.2411063044745,758.6960581640094,0.0,0.0,0.0811491093613616,10108.103145128976,10299.466796647936,191.36365151895916,-0.018579957127609736,2022-01-19,2022-01-18,2022-01
2022-01-19 13:30:00+00:00,SOLUSDT,8.0,5.403985714285677,10108.103145128976,151.62154717693463,819.3606749220465,0.0,0.0,0.08105978571428514,10927.463820051024,10927.463820051024,0.0,0.0,2022-01-19,2022-01-18,2022-01
2022-01-20 04:00:00+00:00,ETHUSDT,8.0,7.738745762711861,10927.463820051024,163.91195730076535,1268.4729650191055,0.0,0.0,0.11608118644067793,12195.93678507013,12195.93678507013,0.0,0.0,2022-01-20,2022-01-18,2022-01
2022-01-21 04:00:00+00:00,BTCUSDT,8.0,-1.1088579154024651,12195.93678507013,182.93905177605194,-202.8534155980966,0.0,0.0,-0.01663286873103698,11993.083369472033,12195.93678507013,202.85341559809603,-0.016632868731036976,2022-01-21,2022-01-18,2022-01
2022-01-21 04:00:00+00:00,ETHUSDT,8.0,-1.0603201072386057,11993.083369472033,179.89625054208048,-190.74761166660184,0.0,0.0,-0.015904801608579083,11802.335757805431,12195.93678507013,393.60102726469813,-0.032273127862267326,2022-01-21,2022-01-18,2022-01
2022-01-21 04:00:00+00:00,LINKUSDT,8.0,-1.0454827067669163,11802.335757805431,177.03503636708146,-185.08706901363578,0.0,0.0,-0.015682240601503743,11617.248688791795,12195.93678507013,578.6880962783343,-0.04744925350767193,2022-01-21,2022-01-18,2022-01
2022-01-21 04:00:00+00:00,SOLUSDT,8.0,-1.0228952095808383,11617.248688791795,174.2587303318769,-178.24842048411602,0.0,0.0,-0.015343428143712574,11439.000268307678,12195.93678507013,756.936516762451,-0.06206464743971685,2022-01-21,2022-01-18,2022-01
2022-01-26 06:25:00+00:00,XRPUSDT,8.0,0.6944226006191958,11439.000268307678,171.58500402461516,119.15250472202844,0.0,0.0,0.010416339009287937,11558.152773029708,12195.93678507013,637.7840120404217,-0.05229479483865285,2022-01-26,2022-01-25,2022-01
2022-01-26 09:25:00+00:00,LINKUSDT,8.0,0.6926708201892733,11558.152773029708,173.3722915954456,120.08992741751116,0.0,0.0,0.0103900623028391,11678.24270044722,12195.93678507013,517.6940846229099,-0.042448078712301496,2022-01-26,2022-01-25,2022-01
2022-01-26 15:50:00+00:00,SOLUSDT,8.0,0.6933087264150927,11678.24270044722,175.1736405067083,121.44941360120121,0.0,0.0,0.01039963089622639,11799.692114048421,12195.93678507013,396.2446710217082,-0.032489892166936984,2022-01-26,2022-01-25,2022-01
2022-01-26 20:00:00+00:00,ETHUSDT,8.0,0.6964408568340363,11799.692114048421,176.99538171072632,123.26681529428556,0.0,0.0,0.010446612852510546,11922.958929342707,12195.93678507013,272.97785572742214,-0.022382688639514203,2022-01-26,2022-01-25,2022-01
2022-01-27 04:00:00+00:00,LINKUSDT,8.0,-1.008183870967742,11922.958929342707,178.8443839401406,-180.30802330161202,0.0,0.0,-0.01512275806451613,11742.650906041095,12195.93678507013,453.2858790290338,-0.03716695871890152,2022-01-27,2022-01-25,2022-01
2022-01-27 04:00:00+00:00,SOLUSDT,8.0,-1.0094238907849828,11742.650906041095,176.1397635906164,-177.79968548558708,0.0,0.0,-0.015141358361774741,11564.851220555509,12195.93678507013,631.0855645146203,-0.05174555883949605,2022-01-27,2022-01-25,2022-01
2022-01-28 01:15:00+00:00,SOLUSDT,8.0,0.6842385964912264,11564.851220555509,173.47276830833263,118.69676351674123,0.0,0.0,0.010263578947368396,11683.547984072251,12195.93678507013,512.3888009978782,-0.04201307452045244,2022-01-28,2022-01-25,2022-01
2022-01-28 01:30:00+00:00,LINKUSDT,8.0,0.6768468749999963,11683.547984072251,175.25321976108376,118.61959412897714,0.0,0.0,0.010152703124999943,11802.167578201228,12195.93678507013,393.76920686890116,-0.03228691766842717,2022-01-28,2022-01-25,2022-01
2022-01-29 08:00:00+00:00,SOLUSDT,8.0,7.975625688073395,11802.167578201228,177.0325136730184,1411.9450636747301,0.0,0.0,0.11963438532110092,13214.112641875958,13214.112641875958,0.0,0.0,2022-01-29,2022-01-25,2022-01
2022-02-05 00:00:00+00:00,BTCUSDT,8.0,-1.071130651832004,13214.112641875958,198.21168962813937,-212.3106163121118,0.0,0.0,-0.01606695977748006,13001.802025563846,13214.112641875958,212.31061631211196,-0.016066959777480072,2022-02-05,2022-02-01,2022-02
