rsi_l,rsi_h,total_trades,managed_total_r,baseline_total_r,delta_m_minus_b,weighted_win_pct,max_asset_dd_r,active_trade_days,avg_daily_trades_active_days,median_daily_trades_active_days,max_trades_in_a_day,trade_reduction_vs_35_60_pct,r_delta_vs_35_60
40,65,1621,1073.0460300028756,907.0460300028757,165.9999999999999,53.42381246144355,20.046084968798823,854,1.8981264637002342,1.0,8,-2.1424070573409004,49.92757256430821
35,60,1587,1023.1184574385674,1182.118457438567,-158.99999999999966,53.37114051669817,20.745402084925303,850,1.8670588235294117,1.0,7,0.0,0.0
40,60,1866,921.2460768381634,907.8460768381638,13.399999999999636,52.572347266881025,281.2236999836888,966,1.9316770186335404,2.0,9,-17.580340264650275,-101.87238060040397
40,70,1363,848.66808257846,714.4680825784601,134.19999999999993,53.191489361702125,21.34528711338855,711,1.9170182841068917,2.0,9,14.114681789540018,-174.45037486010733
35,65,1281,810.2892982489514,828.2892982489514,-18.0,53.942232630757225,17.75649410656323,697,1.8378766140602583,1.0,8,19.281663516068047,-212.829159189616
30,65,965,639.8437572212508,657.0437572212511,-17.200000000000273,54.09326424870466,18.905709904207583,546,1.7673992673992673,1.0,8,39.19344675488343,-383.27470021731654
30,60,1286,584.0420807309326,758.0420807309324,-173.99999999999977,53.34370139968896,282.2843177579623,720,1.7861111111111112,1.0,7,18.966603654694392,-439.0763767076347
35,70,998,577.8463650911608,593.6463650911609,-15.800000000000068,53.206412825651306,16.226340556403212,548,1.8211678832116789,1.0,7,37.11405166981726,-445.27209234740656
30,70,667,435.96624674710773,469.5662467471077,-33.599999999999966,53.67316341829086,14.542195258038348,386,1.7279792746113989,1.0,6,57.971014492753625,-587.1522106914597
