audit_scope,symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_price,stop_init,risk,baseline_r,managed_r,delta_r,managed_reason,hold_5m_bars
first_25_by_entry,XRPUSDT,0.5,2024-03-11T20:00:00+00:00,2024-03-11T20:45:00+00:00,0.7316,0.7455,0.0139,0.4842100719424461,0.4842100719424461,0.0,TP,10
first_25_by_entry,XRPUSDT,0.5,2024-04-12T20:00:00+00:00,2024-04-13T19:55:00+00:00,0.5364,0.4907,0.0456999999999999,-1.0035212253829322,-1.0035212253829322,0.0,SL,288
first_25_by_entry,XRPUSDT,0.5,2024-04-13T20:00:00+00:00,2024-04-13T20:05:00+00:00,0.4916,0.4686,0.0229999999999999,-1.0064121739130434,-1.0064121739130434,0.0,SL,2
first_25_by_entry,XRPUSDT,0.5,2024-04-14T12:00:00+00:00,2024-04-14T12:45:00+00:00,0.4823,0.4636,0.0186999999999999,0.4922625668449212,0.4922625668449212,0.0,TP,10
first_25_by_entry,XRPUSDT,0.5,2024-06-07T20:00:00+00:00,2024-06-17T14:25:00+00:00,0.4929,0.4475,0.0453999999999999,0.4967429515418514,0.4967429515418514,0.0,TP,2814
first_25_by_entry,XRPUSDT,0.5,2024-07-04T16:00:00+00:00,2024-07-04T18:15:00+00:00,0.4444,0.4377,0.0067,-1.0198985074626865,-1.0198985074626865,0.0,SL,28
first_25_by_entry,XRPUSDT,0.5,2024-07-13T08:00:00+00:00,2024-07-13T08:00:00+00:00,0.5151,0.5157,0.0006,-1.2575499999999806,-1.2575499999999806,0.0,SL,1
first_25_by_entry,XRPUSDT,0.5,2024-07-17T08:00:00+00:00,2024-07-17T08:15:00+00:00,0.6088,0.6176,0.0088,0.4792454545454483,0.4792454545454483,0.0,TP,4
first_25_by_entry,XRPUSDT,0.5,2024-07-18T00:00:00+00:00,2024-07-18T01:05:00+00:00,0.6256,0.6376,0.0119999999999999,0.4843599999999952,0.4843599999999952,0.0,TP,14
first_25_by_entry,XRPUSDT,0.5,2024-08-05T04:00:00+00:00,2024-08-05T06:20:00+00:00,0.473,0.4497,0.0232999999999999,-1.0060901287553647,-1.0060901287553647,0.0,SL,29
first_25_by_entry,XRPUSDT,0.5,2024-09-06T20:00:00+00:00,2024-09-06T20:05:00+00:00,0.5151,0.5125,0.0026,0.4405653846153643,0.4405653846153643,0.0,TP,2
first_25_by_entry,XRPUSDT,0.5,2024-09-14T08:00:00+00:00,2024-09-14T08:00:00+00:00,0.5791,0.5803,0.0012,0.3552250000000109,0.3552250000000109,0.0,TP,1
first_25_by_entry,XRPUSDT,0.5,2024-09-28T20:00:00+00:00,2024-09-28T20:15:00+00:00,0.6227,0.626,0.0032999999999999,0.4433909090908917,0.4433909090908917,0.0,TP,4
