symbol,chunk,chunk_start_utc,chunk_end_utc,n_trades,baseline_total_r,managed_total_r,baseline_delta_r,win_pct,max_dd_r,avg_hold_h
XRPUSDT,2024-03,2024-03-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,1,12.984210071942446,0.684210071942446,-12.3,100.0,0.0,1.0833333333333333
XRPUSDT,2024-04,2024-04-01T00:00:00+00:00,2024-05-01T00:00:00+00:00,3,-3.0176708324510555,-1.3176708324510562,1.6999999999999993,33.33333333333333,1.0064121739130434,11.444444444444446
XRPUSDT,2024-07,2024-07-01T00:00:00+00:00,2024-08-01T00:00:00+00:00,5,-5.317100101375363,-3.6171001013753603,1.7000000000000028,20.0,3.298203052917213,126.88333333333334
XRPUSDT,2024-08,2024-08-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,1,-1.0060901287553647,-1.0060901287553647,0.0,0.0,0.0,2.4166666666666665
XRPUSDT,2024-09,2024-09-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,4,9.708257856206306,2.508257856206325,-7.199999999999981,100.0,0.0,0.4583333333333333
XRPUSDT,2024-10,2024-10-01T00:00:00+00:00,2024-11-01T00:00:00+00:00,3,10.960638797836992,0.3606387978369935,-10.6,66.66666666666666,0.0,16.583333333333332
XRPUSDT,2024-11,2024-11-01T00:00:00+00:00,2024-12-01T00:00:00+00:00,9,-9.161365934171485,-2.3613659341714692,6.800000000000016,44.44444444444444,2.3674184421242273,1.361111111111111
XRPUSDT,2024-12,2024-12-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,1,-1.0272576923076921,-1.0272576923076921,0.0,0.0,0.0,0.08333333333333333
XRPUSDT,2025-01,2025-01-01T00:00:00+00:00,2025-02-01T00:00:00+00:00,5,8.90194331957982,3.4019433195798183,-5.500000000000002,100.0,0.0,2.183333333333333
XRPUSDT,2025-02,2025-02-01T00:00:00+00:00,2025-03-01T00:00:00+00:00,3,-3.1978673452794157,-1.497867345279417,1.6999999999999988,33.33333333333333,1.1781999999999964,0.9722222222222221
XRPUSDT,2025-03,2025-03-01T00:00:00+00:00,2025-04-01T00:00:00+00:00,3,-3.2091866771587294,4.9908133228412765,8.200000000000006,66.66666666666666,1.1484795454545313,67.19444444444444
XRPUSDT,2025-04,2025-04-01T00:00:00+00:00,2025-05-01T00:00:00+00:00,2,-2.1093712650985372,-0.4093712650985659,1.6999999999999713,50.0,0.0,0.4166666666666667
XRPUSDT,2025-05,2025-05-01T00:00:00+00:00,2025-06-01T00:00:00+00:00,4,-4.172832697102653,0.9271673028973415,5.099999999999994,75.0,1.1195645161290368,5.104166666666667
XRPUSDT,2025-06,2025-06-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,1,-1.0637285714285707,0.6362714285714195,1.6999999999999902,100.0,0.0,0.08333333333333333
XRPUSDT,2025-07,2025-07-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,4,-4.184636094287312,0.915363905712701,5.100000000000014,75.0,1.0414169811320757,0.8333333333333334
XRPUSDT,2025-09,2025-09-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,2,11.923757568430059,1.3237575684300564,-10.600000000000001,100.0,0.0,33.416666666666664
XRPUSDT,2025-10,2025-10-01T00:00:00+00:00,2025-11-01T00:00:00+00:00,1,-1.0176386813186815,-1.0176386813186815,0.0,0.0,0.0,1.0
XRPUSDT,2025-11,2025-11-01T00:00:00+00:00,2025-12-01T00:00:00+00:00,2,-2.0627824373662342,-2.0627824373662342,0.0,0.0,1.0166420118343193,0.25
XRPUSDT,2025-12,2025-12-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2,-2.056818323943662,-0.35681832394365576,1.7000000000000062,50.0,0.0,3.5833333333333335
XRPUSDT,2026-01,2026-01-01T00:00:00+00:00,2026-02-01T00:00:00+00:00,5,8.635353493119919,-0.2646465068800723,-8.899999999999991,60.0,1.1469071428571436,0.48333333333333334
XRPUSDT,2026-02,2026-02-01T00:00:00+00:00,2026-03-01T00:00:00+00:00,3,-3.944637757973525,-2.244637757973523,1.700000000000002,33.33333333333333,2.93501153846133,4.416666666666667
