rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,total_trades,managed_total_r,baseline_total_r,delta_m_minus_b,weighted_win_pct,max_asset_dd_r
28,40,70,4,5.0,1.5,1.0,5.0,4.0,869,-185.62440613116556,-214.62440613116556,28.99999999999998,36.478711162255465,68.22566446401447
28,40,70,4,8.0,1.5,1.0,5.0,4.0,869,-186.62440613116556,-292.62440613116553,105.99999999999994,36.478711162255465,67.22566446401449
