stream,year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,2022,170,3.53,-0.5524,-1.01,-93.91,11.99,-1.03,92.9,75,-93.91,0.0,164,0,6
S1,2023,260,15.38,0.9854,-1.0113,256.21,11.99,-1.04,64.19,43,256.21,0.0,220,0,40
S1,2024,315,15.87,1.0507,-1.0105,330.95,11.99,-1.04,68.4,48,330.95,0.0,265,0,50
S1,2025,325,9.85,0.2581,-1.0121,83.89,11.99,-1.12,87.12,87,83.89,0.0,293,0,32
S1,2026,87,6.9,-0.1215,-1.0125,-10.57,11.98,-1.07,56.17,48,-10.57,0.0,81,0,6
S2,2022,523,34.23,0.3545,-1.0098,185.38,3.0,-1.06,48.02,35,185.38,0.0,344,0,179
S2,2023,471,25.48,-0.0027,-1.0146,-1.27,2.99,-1.1,54.47,27,-1.27,0.0,351,0,120
S2,2024,685,30.51,0.2036,-1.012,139.5,3.0,-1.05,65.69,27,139.5,0.0,476,0,209
S2,2025,856,31.54,0.2401,-1.0116,205.51,2.99,-1.21,103.82,38,205.51,0.0,586,0,270
S2,2026,100,28.0,0.0998,-1.0147,9.98,2.99,-1.08,20.76,13,9.98,0.0,72,0,28
S3,2022,67,31.34,0.7224,-0.6686,48.4,4.24,-1.47,14.37,18,48.4,0.0,46,0,21
S3,2023,35,25.71,0.5041,-0.648,17.64,4.24,-1.46,5.63,6,17.64,0.0,26,0,9
S3,2024,69,26.09,0.3896,-0.8119,26.88,4.24,-1.79,16.18,16,26.88,0.0,51,0,18
S3,2025,130,30.0,0.6616,-0.7473,86.01,4.24,-1.36,21.86,25,86.01,0.0,91,0,39
S3,2026,9,33.33,0.852,-0.6843,7.67,4.24,-1.15,3.6,5,7.67,0.0,6,0,3
S4,2022,49,14.29,-0.35,-1.011,-17.15,19.48,-1.04,27.41,16,11.85,-29.0,42,6,1
S4,2023,121,27.27,1.6673,-1.0114,201.75,19.49,-1.05,15.32,13,204.75,-3.0,88,19,14
S4,2024,134,24.63,0.307,-1.0116,41.14,19.49,-1.03,47.88,16,69.14,-28.0,101,27,6
S4,2025,76,34.21,0.6366,-1.0095,48.38,19.49,-1.08,27.0,12,129.38,-81.0,50,22,4
S4,2026,13,30.77,2.4383,-1.0133,31.7,19.45,-1.02,9.15,9,27.7,4.0,9,2,2
S5,2022,181,19.89,0.1826,-1.0089,33.05,4.99,-1.05,30.83,30,33.05,0.0,145,0,36
S5,2023,135,17.78,0.0518,-1.0119,7.0,4.99,-1.03,46.62,46,7.0,0.0,111,0,24
S5,2024,180,15.56,-0.0788,-1.0089,-14.19,4.99,-1.03,21.52,17,-14.19,0.0,152,0,28
S5,2025,296,21.96,0.3033,-1.009,89.77,5.0,-1.08,89.9,44,89.77,0.0,231,0,65
S5,2026,63,36.51,1.1739,-1.0099,73.96,4.99,-1.07,21.31,21,73.96,0.0,40,0,23
