date,balance,daily_pnl
2022-01-04,10000.0,0.0
2022-01-04,9859.36,-140.64
2022-01-05,11065.75,1206.39
2022-01-06,11007.53,-58.22
2022-01-07,11849.82,842.29
2022-01-10,11790.27,-59.55
2022-01-12,11626.42,-163.85
2022-01-13,11568.05,-58.37
2022-01-14,12044.17,476.12
2022-01-17,11845.2,-198.97
2022-01-18,12172.9,327.7
2022-01-19,10889.87,-1283.03
2022-01-20,10994.82,104.95
2022-01-21,20440.64,9445.82
2022-01-22,20995.42,554.78
2022-01-27,20121.8,-873.62
2022-01-28,19416.1,-705.7
2022-01-31,18197.02,-1219.08
2022-02-01,17567.67,-629.35
2022-02-02,17516.29,-51.38
2022-02-03,18239.74,723.45
2022-02-04,16707.8,-1531.94
2022-02-06,16007.08,-700.72
2022-02-07,15940.06,-67.02
2022-02-08,15779.88,-160.18
2022-02-09,15032.34,-747.54
2022-02-10,14059.6,-972.74
2022-02-11,17081.67,3022.07
2022-02-13,17438.4,356.73
2022-02-15,16598.4,-840.0
2022-02-16,16431.14,-167.26
2022-02-17,17483.17,1052.03
2022-02-18,18128.0,644.83
2022-02-19,17567.86,-560.14
2022-02-20,17478.33,-89.53
2022-02-21,19156.82,1678.49
2022-02-22,18623.22,-533.6
2022-02-23,18073.61,-549.61
2022-02-24,17978.8,-94.81
2022-02-25,17878.21,-100.59
2022-02-28,16240.65,-1637.56
2022-03-01,16159.3,-81.35
2022-03-03,15895.86,-263.44
2022-03-04,17227.82,1331.96
2022-03-05,17137.0,-90.82
2022-03-07,16858.05,-278.95
2022-03-08,15728.61,-1129.44
2022-03-09,15649.7,-78.91
2022-03-10,15491.54,-158.16
2022-03-11,15059.45,-432.09
2022-03-12,14908.1,-151.35
2022-03-14,13898.31,-1009.79
2022-03-15,13234.9,-663.41
2022-03-16,12109.36,-1125.54
2022-03-19,12048.18,-61.18
2022-03-20,11986.79,-61.39
2022-03-21,11697.41,-289.38
2022-03-22,11066.91,-630.5
2022-03-23,10767.52,-299.39
2022-03-24,10614.64,-152.88
2022-03-25,10561.17,-53.47
2022-03-26,9541.38,-1019.79
2022-03-27,8636.52,-904.86
2022-03-28,8137.84,-498.68
2022-03-29,7984.39,-153.45
2022-03-30,7721.58,-262.81
2022-03-31,7797.2,75.62
2022-04-01,7383.81,-413.39
2022-04-02,7168.47,-215.34
2022-04-03,6921.06,-247.41
2022-04-04,6727.34,-193.72
2022-04-05,6693.64,-33.7
2022-04-06,6536.22,-157.42
2022-04-07,6501.64,-34.58
2022-04-10,6440.83,-60.81
2022-04-11,6819.52,378.69
2022-04-12,6571.85,-247.67
2022-04-13,6197.89,-373.96
2022-04-14,5903.12,-294.77
2022-04-15,5756.94,-146.18
2022-04-17,5961.74,204.8
2022-04-18,6473.9,512.16
2022-04-20,6082.47,-391.43
2022-04-21,7797.58,1715.11
2022-04-22,8922.54,1124.96
2022-04-24,9172.49,249.95
2022-04-25,12056.89,2884.4
2022-04-26,12382.3,325.41
2022-04-27,11846.0,-536.3
2022-04-28,11718.74,-127.26
2022-04-29,12896.82,1178.08
2022-04-30,14539.91,1643.09
2022-05-01,14337.18,-202.73
2022-05-02,14264.19,-72.99
2022-05-03,13793.13,-471.06
2022-05-05,16664.2,2871.07
2022-05-06,16704.77,40.57
2022-05-07,17055.89,351.12
2022-05-08,19003.48,1947.59
2022-05-09,23903.24,4899.76
2022-05-10,23536.64,-366.6
2022-05-11,24964.6,1427.96
2022-05-12,28570.15,3605.55
2022-05-13,27339.41,-1230.74
2022-05-15,27000.66,-338.75
2022-05-19,26858.37,-142.29
2022-05-21,25058.09,-1800.28
2022-05-22,22438.11,-2619.98
2022-05-23,21500.29,-937.82
2022-05-24,21271.21,-229.08
2022-05-25,20661.86,-609.35
2022-05-26,31055.64,10393.78
2022-05-27,33326.83,2271.19
2022-05-28,33150.86,-175.97
2022-05-29,32673.67,-477.19
2022-05-30,30956.77,-1716.9
2022-05-31,30365.36,-591.41
