year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
2022,990,25.15,0.1573,-1.0095,155.77,19.48,-1.47,119.01,70,184.77,-29.0,741,6,243
2023,1022,22.11,0.471,-1.0124,481.33,19.49,-1.46,121.12,48,484.33,-3.0,796,19,207
2024,1383,24.44,0.3791,-1.0109,524.29,19.49,-1.79,48.78,24,552.29,-28.0,1045,27,311
2025,1683,25.67,0.3051,-1.0107,513.56,19.49,-1.36,114.09,43,594.56,-81.0,1251,22,410
2026,272,23.53,0.4145,-1.0129,112.73,19.45,-1.15,72.3,37,108.73,4.0,208,2,62
