sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
AVAXUSDT,811,25.77,0.2903,-1.0097,235.41,19.49,-1.43,40.22,29,256.41,-21.0,602,10,199
BTCUSDT,743,24.23,0.4182,-1.0189,310.73,19.48,-1.79,41.85,31,350.23,-39.5,563,11,169
DOGEUSDT,617,22.53,0.2738,-1.01,168.95,19.49,-1.16,31.04,20,162.95,6.0,478,3,136
ETHUSDT,606,24.92,0.3837,-1.0137,232.5,19.48,-1.67,45.61,19,253.5,-21.0,455,10,141
LINKUSDT,649,24.96,0.2886,-1.0101,187.33,19.49,-1.37,37.7,23,167.33,20.0,487,10,152
PAXGUSDT,179,21.23,0.6265,-1.0514,112.14,19.45,-1.32,27.84,13,149.14,-37.0,141,3,35
SOLUSDT,667,25.49,0.374,-1.0097,249.43,19.49,-1.4,46.52,26,297.43,-48.0,497,17,153
SUIUSDT,512,23.83,0.2524,-1.0082,129.22,11.99,-1.16,36.74,29,123.22,6.0,390,3,119
XRPUSDT,566,24.38,0.2862,-1.012,161.98,19.49,-1.57,25.2,20,164.48,-2.5,428,9,129
